contest	year	month	day	time	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalsShoot	homeTotalGoalsReceived	homeTotalGoalDiff	guestTotalGoalsShoot	guestTotalGoalsReceived	guestTotalGoalDiff	homeTeamGoalsShootAtHome	homeTeamGoalsReceivedAtHome	homeTeamGoalsDiffAtHome	homeTeamGoalsShootAway	homeTeamGoalsReceivedAway	homeTeamGoalsDiffAway	guestTeamGoalsShootAtHome	guestTeamGoalsReceivedAtHome	guestTeamGoalsDiffAtHome	guestTeamGoalsShootAway	guestTeamGoalsReceivedAway	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints	fortlfd
Europa League  Europa League	2017	11	Do	21:05	5	Red Bull Salzburg	Konyaspor	0.000000	2.200000	0.280000	1.920000	0.000000	2.000000	-2.000000	2.363636	0.636364	1.727273	2.071429	0.500000	1.571429	0.000000	2.000000	-2.000000	0.000000	0.000000	0.000000	2.240000	0.000000	26
Bundesliga  Bundesliga	2017	11	So	16:30	3	SKN St. Pölten	Red Bull Salzburg	-2.000000	1.000000	0.000000	1.000000	2.115385	0.538462	1.576923	0.000000	0.000000	0.000000	1.000000	5.000000	-4.000000	2.166667	0.583333	1.583333	2.071429	0.500000	1.571429	0.000000	2.192308	27
Bundesliga  Bundesliga	2017	11	So	16:30	14	Red Bull Salzburg	SK Sturm Graz	5.000000	2.148148	0.259259	1.888889	1.000000	0.000000	1.000000	2.166667	0.583333	1.583333	2.133333	0.533333	1.600000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	2.222222	3.000000	28
Europa League  Europa League	2017	11	Do	19:00	4	Red Bull Salzburg	Vitória Guimarães SC	3.000000	2.250000	0.250000	2.000000	1.000000	1.000000	0.000000	2.384615	0.538462	1.846154	2.133333	0.533333	1.600000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	2.250000	1.000000	29
Bundesliga  Bundesliga	2017	11	So	16:30	3	SK Rapid Wien	Red Bull Salzburg	-1.000000	2.000000	0.000000	2.000000	2.275862	0.517241	1.758621	0.000000	0.000000	0.000000	2.000000	2.000000	0.000000	2.428571	0.500000	1.928571	2.133333	0.533333	1.600000	1.000000	2.275862	30
Bundesliga  Bundesliga	2017	11	Mi	18:30	3	Red Bull Salzburg	SV Mattersburg	2.000000	2.300000	0.233333	2.066667	1.000000	2.000000	-1.000000	2.428571	0.500000	1.928571	2.187500	0.625000	1.562500	1.000000	2.000000	-1.000000	0.000000	0.000000	0.000000	2.300000	0.000000	31
Bundesliga  Bundesliga	2017	12	So	16:30	4	FK Austria Wien	Red Bull Salzburg	0.000000	0.000000	0.000000	0.000000	2.290323	0.548387	1.741935	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.400000	0.466667	1.933333	2.187500	0.625000	1.562500	1.000000	2.322581	32
Europa League  Europa League	2017	12	Do	21:05	4	Olympique Marseille	Red Bull Salzburg	0.000000	0.000000	0.000000	0.000000	2.250000	0.562500	1.687500	0.000000	0.000000	0.000000	0.000000	1.000000	-1.000000	2.400000	0.466667	1.933333	2.117647	0.647059	1.470588	0.000000	2.281250	33
Bundesliga  Bundesliga	2017	12	So	16:30	3	Wolfsberger AC	Red Bull Salzburg	0.000000	0.500000	1.000000	-0.500000	2.181818	0.545455	1.636364	0.000000	2.000000	-2.000000	1.000000	2.000000	-1.000000	2.400000	0.466667	1.933333	2.000000	0.611111	1.388889	0.000000	2.242424	34
Bundesliga  Bundesliga	2017	12	Sa	16:00	6	Red Bull Salzburg	LASK	0.000000	2.117647	0.205882	1.911765	1.000000	2.000000	-1.000000	2.400000	0.466667	1.933333	1.894737	0.578947	1.315789	1.000000	3.000000	-2.000000	1.000000	1.000000	0.000000	2.205882	0.500000	35
Bundesliga  Bundesliga	2018	02	Sa	18:30	49	Red Bull Salzburg	FC Admira Wacker Mödling	1.000000	2.057143	0.200000	1.857143	1.000000	3.000000	-2.000000	2.250000	0.437500	1.812500	1.894737	0.578947	1.315789	1.000000	1.000000	0.000000	1.000000	5.000000	-4.000000	2.171429	0.500000	36
Bundesliga  Bundesliga	2018	02	Sa	16:00	7	SC Rheindorf Altach	Red Bull Salzburg	-1.000000	0.000000	0.500000	-0.500000	2.055556	0.527778	1.527778	0.000000	1.000000	-1.000000	0.000000	2.000000	-2.000000	2.235294	0.470588	1.764706	1.894737	0.578947	1.315789	0.000000	2.194444	37
Europa League  Europa League	2018	02	Do	19:00	5	Real Sociedad San Sebastián	Red Bull Salzburg	0.000000	0.000000	0.000000	0.000000	2.027027	0.513514	1.513514	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.235294	0.470588	1.764706	1.850000	0.550000	1.300000	0.000000	2.216216	38
Bundesliga  Bundesliga	2018	02	So	16:30	3	Red Bull Salzburg	SKN St. Pölten	4.000000	2.026316	0.210526	1.815789	1.000000	4.000000	-3.000000	2.235294	0.470588	1.764706	1.857143	0.619048	1.238095	1.000000	3.000000	-2.000000	1.000000	5.000000	-4.000000	2.184211	0.000000	39
Europa League  Europa League	2018	02	Do	21:05	4	Red Bull Salzburg	Real Sociedad San Sebastián	1.000000	2.076923	0.205128	1.871795	2.000000	2.000000	0.000000	2.333333	0.444444	1.888889	1.857143	0.619048	1.238095	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	2.205128	1.000000	40
Bundesliga  Bundesliga	2018	02	So	16:30	3	SK Sturm Graz	Red Bull Salzburg	-2.000000	0.500000	0.000000	0.500000	2.075000	0.550000	1.525000	1.000000	0.000000	1.000000	0.000000	5.000000	-5.000000	2.315789	0.473684	1.842105	1.857143	0.619048	1.238095	1.500000	2.225000	41
ÖFB-Cup  ÖFB-Cup	2018	02	Mi	19:30	3	Red Bull Salzburg	SK Austria Klagenfurt	7.000000	2.121951	0.219512	1.902439	0.000000	0.000000	0.000000	2.315789	0.473684	1.842105	1.954545	0.681818	1.272727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.243902	0.000000	42
Bundesliga  Bundesliga	2018	03	So	16:30	4	Red Bull Salzburg	SK Rapid Wien	1.000000	2.238095	0.214286	2.023810	2.000000	2.500000	-0.500000	2.550000	0.450000	2.100000	1.954545	0.681818	1.272727	2.000000	3.000000	-1.000000	2.000000	2.000000	0.000000	2.261905	0.500000	43
Europa League  Europa League	2018	03	Do	19:00	4	Borussia Dortmund	Red Bull Salzburg	-1.000000	0.000000	0.000000	0.000000	2.209302	0.558140	1.651163	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.476190	0.428571	2.047619	1.954545	0.681818	1.272727	0.000000	2.279070	44
Bundesliga  Bundesliga	2018	03	So	16:30	3	SV Mattersburg	Red Bull Salzburg	0.000000	0.500000	1.000000	-0.500000	2.204545	0.568182	1.636364	1.000000	2.000000	-1.000000	0.000000	2.000000	-2.000000	2.476190	0.428571	2.047619	1.956522	0.695652	1.260870	0.000000	2.295455	45
Europa League  Europa League	2018	03	Do	21:05	4	Red Bull Salzburg	Borussia Dortmund	0.000000	2.200000	0.200000	2.000000	1.000000	2.000000	-1.000000	2.476190	0.428571	2.047619	1.958333	0.750000	1.208333	1.000000	2.000000	-1.000000	0.000000	0.000000	0.000000	2.266667	0.000000	46
Bundesliga  Bundesliga	2018	03	So	14:30	3	Red Bull Salzburg	FK Austria Wien	5.000000	2.152174	0.195652	1.956522	0.500000	0.500000	0.000000	2.363636	0.409091	1.954545	1.958333	0.750000	1.208333	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	2.239130	1.000000	47
Bundesliga  Bundesliga	2018	03	Sa	18:30	13	Red Bull Salzburg	Wolfsberger AC	2.000000	2.212766	0.191489	2.021277	0.333333	1.333333	-1.000000	2.478261	0.391304	2.086957	1.958333	0.750000	1.208333	0.000000	1.000000	-1.000000	1.000000	2.000000	-1.000000	2.255319	0.333333	48
Europa League  Europa League	2018	04	Do	21:05	5	Lazio Rom	Red Bull Salzburg	2.000000	0.000000	0.000000	0.000000	2.208333	0.562500	1.645833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.458333	0.375000	2.083333	1.958333	0.750000	1.208333	0.000000	2.270833	49
Bundesliga  Bundesliga	2018	04	So	15:00	3	LASK	Red Bull Salzburg	1.000000	0.666667	1.000000	-0.333333	2.204082	0.632653	1.571429	1.000000	3.000000	-2.000000	0.500000	0.500000	0.000000	2.458333	0.375000	2.083333	1.960000	0.880000	1.080000	0.666667	2.224490	50
Europa League  Europa League	2018	04	Do	21:05	4	Red Bull Salzburg	Lazio Rom	3.000000	2.160000	0.180000	1.980000	4.000000	2.000000	2.000000	2.458333	0.375000	2.083333	1.884615	0.884615	1.000000	4.000000	2.000000	2.000000	0.000000	0.000000	0.000000	2.180000	3.000000	51
Bundesliga  Bundesliga	2018	04	So	19:00	3	FC Admira Wacker Mödling	Red Bull Salzburg	-4.000000	1.000000	0.333333	0.666667	2.196078	0.647059	1.549020	1.000000	1.000000	0.000000	1.000000	3.500000	-2.500000	2.520000	0.400000	2.120000	1.884615	0.884615	1.000000	0.333333	2.196078	52
ÖFB-Cup  ÖFB-Cup	2018	04	Mi	18:00	3	SV Mattersburg	Red Bull Salzburg	0.000000	1.000000	1.333333	-0.333333	2.269231	0.673077	1.596154	1.500000	2.000000	-0.500000	0.000000	2.000000	-2.000000	2.520000	0.400000	2.120000	2.037037	0.925926	1.111111	0.333333	2.211538	53
Bundesliga  Bundesliga	2018	04	So	14:30	4	Red Bull Salzburg	SC Rheindorf Altach	2.000000	2.226415	0.188679	2.037736	0.000000	1.333333	-1.333333	2.520000	0.400000	2.120000	1.964286	0.892857	1.071429	0.000000	1.000000	-1.000000	0.000000	2.000000	-2.000000	2.188679	0.000000	54
Europa League  Europa League	2018	04	Do	21:05	4	Olympique Marseille	Red Bull Salzburg	2.000000	0.000000	0.000000	0.000000	2.240741	0.666667	1.574074	0.000000	0.000000	0.000000	0.000000	1.000000	-1.000000	2.538462	0.423077	2.115385	1.964286	0.892857	1.071429	0.500000	2.203704	55
Bundesliga  Bundesliga	2018	04	So	19:00	3	SKN St. Pölten	Red Bull Salzburg	-2.000000	0.666667	1.000000	-0.333333	2.200000	0.690909	1.509091	1.000000	3.000000	-2.000000	0.500000	4.500000	-4.000000	2.538462	0.423077	2.115385	1.896552	0.931034	0.965517	0.000000	2.163636	56
Europa League  Europa League	2018	05	Do	21:05	4	Red Bull Salzburg	Olympique Marseille	2.000000	2.196429	0.196429	2.000000	0.666667	0.333333	0.333333	2.538462	0.423077	2.115385	1.900000	0.900000	1.000000	1.000000	0.000000	1.000000	0.000000	1.000000	-1.000000	2.178571	1.333333	57
Bundesliga  Bundesliga	2018	05	So	16:30	3	Red Bull Salzburg	SK Sturm Graz	3.000000	2.192982	0.192982	2.000000	1.000000	3.000000	-2.000000	2.518519	0.407407	2.111111	1.900000	0.900000	1.000000	1.500000	2.000000	-0.500000	0.000000	5.000000	-5.000000	2.192982	1.000000	58
ÖFB-Cup  ÖFB-Cup	2018	05	Mi	20:30	3	SK Sturm Graz	Red Bull Salzburg	0.000000	1.000000	1.000000	0.000000	2.224138	0.672414	1.551724	1.500000	2.000000	-0.500000	0.500000	4.500000	-4.000000	2.571429	0.428571	2.142857	1.900000	0.900000	1.000000	0.750000	2.206897	59
Bundesliga  Bundesliga	2018	05	So	16:30	4	SK Rapid Wien	Red Bull Salzburg	-3.000000	1.333333	1.000000	0.333333	2.186441	0.661017	1.525424	2.000000	3.000000	-1.000000	1.000000	1.500000	-0.500000	2.571429	0.428571	2.142857	1.838710	0.870968	0.967742	0.333333	2.186441	60
Bundesliga  Bundesliga	2018	05	So	16:30	7	Red Bull Salzburg	SV Mattersburg	1.000000	2.216667	0.200000	2.016667	0.750000	1.500000	-0.750000	2.571429	0.428571	2.142857	1.906250	0.875000	1.031250	1.000000	1.333333	-0.333333	0.000000	2.000000	-2.000000	2.200000	0.500000	61
Bundesliga  Bundesliga	2018	05	So	17:30	7	FK Austria Wien	Red Bull Salzburg	4.000000	0.333333	0.333333	0.000000	2.196721	0.655738	1.540984	1.000000	1.000000	0.000000	0.000000	2.500000	-2.500000	2.517241	0.413793	2.103448	1.906250	0.875000	1.031250	0.666667	2.213115	62
ÖFB-Cup  ÖFB-Cup	2017	07	Fr	17:30	45	ASK Ebreichsdorf	FK Austria Wien	0.000000	0.000000	0.000000	0.000000	1.250000	1.500000	-0.250000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.500000	0.500000	2.000000	0.000000	2.500000	-2.500000	0.000000	1.250000	63
Bundesliga  Bundesliga	2017	07	So	16:30	9	SC Rheindorf Altach	FK Austria Wien	3.000000	0.250000	0.500000	-0.250000	1.000000	1.200000	-0.200000	0.000000	1.000000	-1.000000	0.500000	2.500000	-2.000000	2.500000	0.500000	2.000000	0.000000	1.666667	-1.666667	0.000000	1.200000	64
Europa League Qualifikation  Europa League Qualifikation	2017	07	Do	21:05	4	FK Austria Wien	AEL Limassol	0.000000	0.833333	0.166667	0.666667	0.000000	0.000000	0.000000	2.500000	0.500000	2.000000	0.000000	2.000000	-2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	65
Bundesliga  Bundesliga	2017	07	So	16:00	3	FK Austria Wien	SK Sturm Graz	-1.000000	0.714286	0.142857	0.571429	0.800000	2.600000	-1.800000	1.666667	0.333333	1.333333	0.000000	2.000000	-2.000000	1.000000	1.333333	-0.333333	0.500000	4.500000	-4.000000	1.000000	0.800000	66
Europa League Qualifikation  Europa League Qualifikation	2017	08	Mi	18:00	3	AEL Limassol	FK Austria Wien	-1.000000	0.000000	0.000000	0.000000	0.875000	1.500000	-0.625000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.750000	1.000000	0.750000	0.000000	2.000000	-2.000000	1.000000	0.875000	67
Bundesliga  Bundesliga	2017	08	So	16:30	4	SK Rapid Wien	FK Austria Wien	0.000000	1.250000	1.750000	-0.500000	1.000000	1.444444	-0.444444	1.500000	3.500000	-2.000000	1.000000	1.500000	-0.500000	1.750000	1.000000	0.750000	0.400000	1.800000	-1.400000	0.250000	1.111111	68
Bundesliga  Bundesliga	2017	08	Sa	18:30	6	FK Austria Wien	LASK	2.000000	1.100000	0.400000	0.700000	0.750000	1.000000	-0.250000	1.750000	1.000000	0.750000	0.666667	1.833333	-1.166667	1.000000	1.500000	-0.500000	0.500000	0.500000	0.000000	1.100000	1.250000	69
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	20:45	5	NK Osijek	FK Austria Wien	-1.000000	0.000000	0.000000	0.000000	1.181818	1.363636	-0.181818	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.800000	0.800000	1.000000	0.666667	1.833333	-1.166667	0.000000	1.272727	70
Bundesliga  Bundesliga	2017	08	So	19:00	3	SV Mattersburg	FK Austria Wien	-2.000000	0.600000	0.800000	-0.200000	1.250000	1.333333	-0.083333	1.000000	1.333333	-0.333333	0.000000	1.500000	-1.500000	1.800000	0.800000	1.000000	0.857143	1.714286	-0.857143	0.400000	1.416667	71
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	21:05	4	FK Austria Wien	NK Osijek	-1.000000	1.384615	0.307692	1.076923	1.000000	2.000000	-1.000000	1.800000	0.800000	1.000000	1.125000	1.625000	-0.500000	1.000000	2.000000	-1.000000	0.000000	0.000000	0.000000	1.538462	0.000000	72
Bundesliga  Bundesliga	2017	08	So	19:00	3	FC Admira Wacker Mödling	FK Austria Wien	-2.000000	1.250000	1.750000	-0.500000	1.285714	1.285714	0.000000	1.500000	3.500000	-2.000000	1.000000	3.500000	-2.500000	1.500000	0.833333	0.666667	1.125000	1.625000	-0.500000	0.250000	1.428571	73
Bundesliga  Bundesliga	2017	09	Sa	18:30	13	FK Austria Wien	Wolfsberger AC	0.000000	1.400000	0.333333	1.066667	0.250000	1.500000	-1.250000	1.500000	0.833333	0.666667	1.333333	1.555556	-0.222222	0.000000	1.000000	-1.000000	0.500000	2.000000	-1.500000	1.533333	0.250000	74
Bundesliga  Bundesliga	2017	09	Do	19:00	5	FK Austria Wien	AC Mailand	-4.000000	1.437500	0.437500	1.000000	0.000000	0.000000	0.000000	1.571429	1.000000	0.571429	1.333333	1.555556	-0.222222	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.500000	0.000000	75
Bundesliga  Bundesliga	2017	09	So	19:00	3	FK Austria Wien	SKN St. Pölten	4.000000	1.411765	0.705882	0.705882	0.500000	3.500000	-3.000000	1.500000	1.500000	0.000000	1.333333	1.555556	-0.222222	0.500000	2.500000	-2.000000	0.500000	4.500000	-4.000000	1.411765	0.000000	76
ÖFB-Cup  ÖFB-Cup	2017	09	Mi	18:30	3	Union Vöcklamarkt	FK Austria Wien	-3.000000	0.000000	0.000000	0.000000	1.611111	1.500000	0.111111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.888889	1.444444	0.444444	1.333333	1.555556	-0.222222	0.000000	1.500000	77
Bundesliga  Bundesliga	2017	09	Do	21:05	4	AEK Athen	FK Austria Wien	0.000000	0.000000	0.000000	0.000000	1.684211	1.421053	0.263158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.888889	1.444444	0.444444	1.500000	1.400000	0.100000	0.000000	1.578947	78
Bundesliga  Bundesliga	2017	10	So	16:30	3	FK Austria Wien	SC Rheindorf Altach	2.000000	1.700000	0.650000	1.050000	0.800000	1.400000	-0.600000	1.888889	1.444444	0.444444	1.545455	1.454545	0.090909	1.000000	0.666667	0.333333	0.500000	2.500000	-2.000000	1.550000	0.600000	79
Bundesliga  Bundesliga	2017	10	So	16:30	14	SK Sturm Graz	FK Austria Wien	3.000000	1.166667	0.666667	0.500000	1.714286	1.380952	0.333333	1.000000	1.333333	-0.333333	1.333333	3.666667	-2.333333	1.900000	1.300000	0.600000	1.545455	1.454545	0.090909	1.166667	1.619048	80
Bundesliga  Bundesliga	2017	10	Do	21:05	4	FK Austria Wien	HNK Rijeka	-2.000000	1.636364	0.590909	1.045455	0.500000	0.500000	0.000000	1.900000	1.300000	0.600000	1.416667	1.583333	-0.166667	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.545455	1.000000	81
Bundesliga  Bundesliga	2017	10	So	16:30	3	FK Austria Wien	SK Rapid Wien	-1.000000	1.608696	0.695652	0.913043	1.400000	2.400000	-1.000000	1.818182	1.454545	0.363636	1.416667	1.583333	-0.166667	1.666667	3.000000	-1.333333	1.000000	1.500000	-0.500000	1.478261	0.400000	82
