Spieltag;Heim-Mansch.;Gast-Mansch.;Heim-Ergebnis;Gast-Ergebnis;Heim-Tore;Gast-Tore;Heim-Tore-insg-gemacht;Heim-Tore-Insg-bekommen;Heim-insg-Tordiff.;Gast-Tore-insg-gemacht;Gast-Tore-insg-bekommen;Gast-insg.-Tordiff.;Heim-Heim-Tore-insg-gemacht;Heim-Heim-Tore-insg-bekommen;Heim-Heim-Tordiff.;Gast-Ausw-Tore-insg-gemacht;Gast-Ausw.-Tore-insg-bekommen;Gast-Ausw.Tordiff.;Heim-Punkte;Gast-Punkte;Heim-Punkte-insg;Gast-Punkte-Insg;;Heim-Mansch.;Gast-Mansch.;Gast-Tore;Heim-Tore;;Gast-Mansch.;Heim-Mansch.;Gast-Tore;Heim-Tore;;Gast-Mansch.;Heim-Mansch.;Heim-Tore;Gast-Tore;;Gast-Punkte;Heim-Punkte
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
