contest	date	year	month	day	time	viewers	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints
Europa League  Europa League	23.11.2017	2017	11	Do	19:00	6474	4	Red Bull Salzburg	Vitória Guimarães SC	3.000000	2.000000	0.000000	1.846154	1.600000	0.000000	0.000000	2.250000	1.000000
Bundesliga  Bundesliga	26.11.2017	2017	11	So	16:30	24375	3	SK Rapid Wien	Red Bull Salzburg	-1.000000	2.000000	1.758621	0.000000	0.000000	1.928571	1.600000	1.000000	2.275862
Bundesliga  Bundesliga	29.11.2017	2017	11	Mi	18:30	3922	3	Red Bull Salzburg	SV Mattersburg	2.000000	2.066667	-1.000000	1.928571	1.562500	-1.000000	0.000000	2.300000	0.000000
Bundesliga  Bundesliga	03.12.2017	2017	12	So	16:30	6386	4	FK Austria Wien	Red Bull Salzburg	0.000000	0.000000	1.741935	0.000000	0.000000	1.933333	1.562500	1.000000	2.322581
Europa League  Europa League	07.12.2017	2017	12	Do	21:05	23865	4	Olympique Marseille	Red Bull Salzburg	0.000000	0.000000	1.687500	0.000000	-1.000000	1.933333	1.470588	0.000000	2.281250
Bundesliga  Bundesliga	10.12.2017	2017	12	So	16:30	2187	3	Wolfsberger AC	Red Bull Salzburg	0.000000	-0.500000	1.636364	-2.000000	-1.000000	1.933333	1.388889	0.000000	2.242424
Bundesliga  Bundesliga	16.12.2017	2017	12	Sa	16:00	5642	6	Red Bull Salzburg	LASK	0.000000	1.911765	-1.000000	1.933333	1.315789	-2.000000	0.000000	2.205882	0.500000
Bundesliga  Bundesliga	03.02.2018	2018	02	Sa	18:30	4095	49	Red Bull Salzburg	FC Admira Wacker Mödling	1.000000	1.857143	-2.000000	1.812500	1.315789	0.000000	-4.000000	2.171429	0.500000
Bundesliga  Bundesliga	10.02.2018	2018	02	Sa	16:00	3803	7	SC Rheindorf Altach	Red Bull Salzburg	-1.000000	-0.500000	1.527778	-1.000000	-2.000000	1.764706	1.315789	0.000000	2.194444
Europa League  Europa League	15.02.2018	2018	02	Do	19:00	19790	5	Real Sociedad San Sebastián	Red Bull Salzburg	0.000000	0.000000	1.513514	0.000000	0.000000	1.764706	1.300000	0.000000	2.216216
Bundesliga  Bundesliga	18.02.2018	2018	02	So	16:30	4273	3	Red Bull Salzburg	SKN St. Pölten	4.000000	1.815789	-3.000000	1.764706	1.238095	-2.000000	-4.000000	2.184211	0.000000
Europa League  Europa League	22.02.2018	2018	02	Do	21:05	13912	4	Red Bull Salzburg	Real Sociedad San Sebastián	1.000000	1.871795	0.000000	1.888889	1.238095	0.000000	0.000000	2.205128	1.000000
Bundesliga  Bundesliga	25.02.2018	2018	02	So	16:30	7157	3	SK Sturm Graz	Red Bull Salzburg	-2.000000	0.500000	1.525000	1.000000	-5.000000	1.842105	1.238095	1.500000	2.225000
ÖFB-Cup  ÖFB-Cup	28.02.2018	2018	02	Mi	19:30	1535	3	Red Bull Salzburg	SK Austria Klagenfurt	7.000000	1.902439	0.000000	1.842105	1.272727	0.000000	0.000000	2.243902	0.000000
Bundesliga  Bundesliga	04.03.2018	2018	03	So	16:30	11981	4	Red Bull Salzburg	SK Rapid Wien	1.000000	2.023810	-0.500000	2.100000	1.272727	-1.000000	0.000000	2.261905	0.500000
Europa League  Europa League	08.03.2018	2018	03	Do	19:00	53700	4	Borussia Dortmund	Red Bull Salzburg	-1.000000	0.000000	1.651163	0.000000	0.000000	2.047619	1.272727	0.000000	2.279070
