gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamTeamAvgPoints	guestTeamAvgPoints
1	Rapid	Mattersburg	U	0	0	0	0	0	0	0	0
1	WAC	Salzburg	N	0	0	0	0	0	0	0	0
1	LASK	Admira	S	0	0	0	0	0	0	0	0
1	Altach	Austria	S	0	0	0	0	0	0	0	0
1	Graz	SKN	S	0	0	0	0	0	0	0	0
2	Salzburg	LASK	U	2	3	0	2	3	0	3	3
2	Mattersburg	WAC	S	2	-2	0	0	-2	0	1	0
2	SKN	Rapid	N	2	0	0	-1	0	0	0	1
2	Austria	Graz	N	0	1	0	-3	1	0	0	3
2	Admira	Altach	S	0	3	0	-3	3	0	0	3
3	LASK	SKN	S	2	-2	3	0	-3	-1	2	0
3	Salzburg	Admira	S	1	0	0	2	3	-3	2	1,5
3	WAC	Altach	S	-1	0	-2	-1	3	-3	0	1,5
3	Rapid	Austria	U	2	-2	0	3	-1	-3	2	0
3	Mattersburg	Graz	N	1,5	1	1	0	1	1	2	3
4	Altach	Salzburg	N	1,333333333	2	3	-2	2	2	1	2,333333333
4	SKN	Mattersburg	U	-0,333333333	0	-3	-1,5	0	0	0	1,333333333
4	Austria	LASK	S	0,333333333	1,666666667	-1	-1,5	2,5	0	0,333333333	2,333333333
4	Graz	WAC	S	2,333333333	-0,666666667	1	1	-0,5	-1	3	1
4	Admira	Rapid	S	1,333333333	1	3	-3,5	0	3	1	1,666666667
5	Rapid	Graz	N	1,25	1	0	0,5	1	1	1,25	3
5	WAC	Admira	S	0	-0,5	-0,5	-1	2,5	-3,5	0,75	1,5
5	Salzburg	SKN	S	1,75	-1,5	2	1,5	-1,5	-1,5	2,5	0,25
5	LASK	Altach	U	1,5	-0,5	2,5	-1	1	-2	1,75	0,75
5	Mattersburg	Austria	N	0,5	-0,5	0	0	0,5	-1,5	1,25	1
6	WAC	SKN	S	0,4	-2	0,333333333	-1	-1,5	-2,333333333	1,2	0,2
6	Rapid	LASK	S	0,8	0,6	-0,333333333	0,5	1,666666667	-1	1	1,6
6	Graz	Salzburg	S	2	2,2	1	1	2,666666667	1,5	3	2,6
6	Altach	Mattersburg	S	0,6	-0,4	1	-1,333333333	-0,666666667	0	0,8	1
6	Admira	Austria	N	1,2	0	2,5	-3	0,5	-0,333333333	1,2	1,4
7	LASK	Graz	S	1	1	1,666666667	-1	1	1	1,333333333	3
7	SKN	Altach	N	0,166666667	-0,166666667	-1,5	-2	1	-1,333333333	0,166666667	1,166666667
7	Austria	WAC	U	1,5	0	0,5	0,25	0,5	-1	1,666666667	1,5
7	Mattersburg	Admira	N	0	-1	-0,666666667	-0,333333333	1	-3	0,833333333	1
7	Salzburg	Rapid	U	1,833333333	0,166666667	2,666666667	0,666666667	0	0,5	2,166666667	1,333333333
8	Altach	Rapid	U	0,857142857	0,142857143	1	-0,75	0	0,333333333	1,428571429	1,285714286
8	Admira	Graz	S	1,285714286	0,714285714	1	-1	1	0,5	1,285714286	2,571428571
