gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamTeamAvgPoints	guestTeamAvgPoints
8	WAC	LASK	U	0,714285714	0,428571429	0,5	-0,666666667	1,5	-1	1,428571429	1,571428571
8	Mattersburg	Salzburg	N	-0,714285714	1,428571429	-1,75	-0,333333333	2	0,666666667	0,714285714	2
8	Austria	SKN	S	1,285714286	-1,714285714	0,333333333	0,25	-1,333333333	-2	1,571428571	0,142857143
9	Rapid	WAC	S	1,125	0	0	0,25	0,4	-0,666666667	1,25	1,375
9	SKN	Admira	U	0,125	0	-1,333333333	-2,4	1	-1	0,125	1,5
9	Graz	Altach	U	1,625	0	1	0,2	0,75	-0,75	2,25	1,375
9	LASK	Mattersburg	U	0,875	-1,125	1,5	-0,75	-1,6	-0,333333333	1,5	0,625
9	Salzburg	Austria	U	1,625	0,75	2	0,75	1,25	0,25	2,125	1,75
10	SKN	Graz	N	0,111111111	0,444444444	-1	-2,4	0,75	0,2	0,222222222	2,111111111
10	Admira	LASK	S	1,222222222	0,333333333	1	-0,8	1,2	-0,75	1,444444444	1,444444444
10	Mattersburg	Rapid	N	-0,444444444	0,333333333	-1,6	-0,25	0,4	0,25	0,666666667	1,444444444
10	Austria	Altach	S	1,444444444	0	1,25	0,2	0,75	-0,6	1,666666667	1,333333333
10	Salzburg	WAC	S	1,444444444	-0,222222222	1,6	0,75	0,4	-1	2	1,222222222
11	LASK	Salzburg	N	0,9	1,2	1,2	-1	1,5	0,75	1,3	2,1
11	WAC	Mattersburg	U	0,8	-1	0,4	-1	-1,5	-0,25	1,1	0,6
11	Altach	Admira	U	0,6	0,2	0,75	-0,833333333	1,2	-0,8	1,2	1,6
11	Rapid	SKN	S	1,2	-1,9	0,4	0,4	-1,4	-2,4	1,6	0,2
11	Graz	Austria	S	1,6	0,8	0,75	0,666666667	1,4	0,2	2,2	1,8
12	Graz	Mattersburg	S	1,727272727	-0,909090909	1,2	0,666666667	-1,5	-0,2	2,272727273	0,636363636
12	SKN	LASK	N	-0,181818182	-0,090909091	-1,4	-2,166666667	0,666666667	-1	0,181818182	1,181818182
12	Altach	WAC	S	0,545454545	-0,272727273	0,6	-0,833333333	0,333333333	-1	1,181818182	1,090909091
12	Admira	Salzburg	U	1,363636364	1,272727273	1,2	-0,666666667	1,5	1	1,545454545	2,181818182
12	Austria	Rapid	N	1,363636364	0,454545455	1,4	-0,333333333	0,5	0,4	1,636363636	1,727272727
13	Rapid	Admira	S	1,166666667	0,166666667	0,5	0,5	1	-0,666666667	1,833333333	1,5
13	Mattersburg	SKN	U	-0,083333333	-1,75	-1,5	-0,333333333	-1,333333333	-2,166666667	0,583333333	0,166666667
13	Salzburg	Altach	S	1,5	-0,083333333	1,5	0,833333333	0,666666667	-0,833333333	2,083333333	1,333333333
13	LASK	Austria	U	0,666666667	0,333333333	0,666666667	-0,666666667	1	-0,333333333	1,333333333	1,5
13	WAC	Graz	N	0,833333333	0,916666667	0,333333333	-1	1,166666667	0,666666667	1	2,333333333
14	Graz	Rapid	U	1,692307692	0,538461538	1,166666667	0,857142857	0,571428571	0,5	2,384615385	1,923076923
14	Altach	LASK	N	0,538461538	0	0,666666667	-1	0,571428571	-0,666666667	1,230769231	1,307692308
14	Admira	WAC	U	1,153846154	-0,461538462	1	-0,714285714	0	-1	1,384615385	0,923076923
14	Austria	Mattersburg	N	1,230769231	-0,846153846	1	-0,285714286	-1,285714286	-0,333333333	1,461538462	0,615384615
14	SKN	Salzburg	N	-0,153846154	1,230769231	-1,333333333	-1,857142857	1,571428571	0,833333333	0,230769231	2,153846154
15	LASK	Rapid	N	0,857142857	0,5	0,571428571	-0,285714286	0,571428571	0,428571429	1,428571429	1,857142857
15	Mattersburg	Altach	S	0,142857143	-0,357142857	-1,285714286	0	0,285714286	-1	0,785714286	1,142857143
15	SKN	WAC	U	-0,285714286	-0,428571429	-1,428571429	-1,857142857	0	-0,857142857	0,214285714	0,928571429
15	Austria	Admira	N	1	0,071428571	0,571428571	-0,285714286	0,857142857	-0,714285714	1,357142857	1,357142857
15	Salzburg	Graz	S	1,642857143	0,928571429	1,571428571	1	1	0,857142857	2,214285714	2,285714286
16	Graz	LASK	S	1,466666667	0,066666667	1	0,125	0,375	-0,285714286	2,133333333	1,333333333
16	Altach	SKN	S	0,333333333	-1,533333333	0,285714286	-1	-1,25	-1,857142857	1,066666667	0,266666667
16	Admira	Mattersburg	S	1,2	-0,533333333	0,857142857	-0,5	-1	0	1,466666667	0,933333333
16	WAC	Austria	N	0,533333333	0,066666667	0	-0,75	0,375	-0,285714286	0,933333333	1,266666667
16	Rapid	Salzburg	N	1,133333333	1,533333333	0,571428571	0,5	2	1	1,933333333	2,266666667
17	Graz	Admira	S	1,4375	0,25	1	0,125	1	-0,5	2,1875	1,5625
17	Salzburg	Mattersburg	S	1,9375	-0,625	2	1	-1	-0,25	2,3125	0,875
17	SKN	Austria	S	-0,25	0,125	-1,25	-2	0,375	-0,125	0,25	1,375
17	LASK	WAC	S	0,6875	-0,4375	0,375	-0,375	-0,125	-0,75	1,25	0,875
17	Rapid	Altach	N	1	-0,1875	0,375	0,5	0,625	-1	1,8125	1,1875
18	WAC	Rapid	U	0,411764706	0,352941176	-0,125	-0,888888889	0,222222222	0,5	0,823529412	1,705882353
18	Mattersburg	LASK	S	0,176470588	0,117647059	-1	-0,444444444	0,555555556	-0,375	0,823529412	1,352941176
18	Altach	Graz	N	0,588235294	0,823529412	0,625	-0,777777778	1,444444444	0,125	1,294117647	2,235294118
18	Admira	SKN	S	1,235294118	-1,470588235	1	-1	-1	-2	1,470588235	0,411764706
18	Austria	Salzburg	U	0,882352941	1,529411765	0,375	-0,222222222	2	1	1,294117647	2,352941176
19	Rapid	Mattersburg	U	0,833333333	-0,611111111	0,222222222	0,444444444	-0,777777778	-0,444444444	1,666666667	0,944444444
19	Graz	SKN	S	1,666666667	-1,444444444	1,444444444	0,222222222	-1	-1,888888889	2,277777778	0,388888889
19	LASK	Admira	S	0,722222222	0	0,555555556	-0,444444444	1	-1	1,277777778	1,555555556
19	Altach	Austria	S	0,5	0,055555556	0,444444444	-0,777777778	0,333333333	-0,222222222	1,222222222	1,277777778
19	WAC	Salzburg	U	0,388888889	1,444444444	-0,111111111	-0,888888889	2	0,888888889	0,833333333	2,277777778
20	Salzburg	LASK	U	1,789473684	0,105263158	2	0,8	0,6	-0,444444444	2,210526316	1,368421053
20	SKN	Rapid	N	-0,052631579	0,315789474	-1	-1,8	0,2	0,444444444	0,368421053	1,631578947
20	Admira	Altach	S	1,210526316	-0,105263158	1	-1	0,5	-0,777777778	1,473684211	1,315789474
20	Mattersburg	WAC	S	0,315789474	-0,473684211	-0,777777778	-0,4	-0,1	-0,888888889	0,947368421	0,842105263
20	Austria	Graz	S	0,789473684	0,842105263	0,333333333	-0,3	1,4	0,222222222	1,210526316	2,315789474
21	Mattersburg	Graz	S	0,5	0,75	-0,3	-0,4	1,4	0,1	1,05	2,2
21	LASK	SKN	S	0,7	-1,6	0,6	-0,4	-1,4	-1,8	1,35	0,35
21	WAC	Altach	U	0,4	-0,2	-0,1	-1,2	0,5	-0,9	0,8	1,25
21	Salzburg	Admira	S	1,7	0,05	1,8	0,8	1,1	-1	2,15	1,55
21	Rapid	Austria	U	1	0,05	0,2	0,9	0,4	-0,3	1,7	1,3
22	Altach	Salzburg	N	0,523809524	1,285714286	0,5	-0,818181818	1,727272727	0,8	1,238095238	2,19047619
22	Austria	LASK	N	0,80952381	0,142857143	0,4	-0,272727273	0,636363636	-0,4	1,285714286	1,428571429
22	Graz	WAC	N	1,476190476	-0,619047619	1,4	0	-0,090909091	-1,2	2,095238095	0,80952381
22	SKN	Mattersburg	N	-0,238095238	-0,285714286	-1,4	-1,727272727	-0,181818182	-0,4	0,333333333	1,142857143
22	Admira	Rapid	S	1,238095238	0,523809524	1,1	-1	0,181818182	0,9	1,476190476	1,666666667
23	Rapid	Graz	U	0,954545455	0,590909091	0,181818182	0,727272727	1,181818182	0	1,590909091	2
23	LASK	Altach	S	0,818181818	-0,227272727	0,636363636	-0,181818182	0,363636364	-0,818181818	1,5	1,181818182
23	Mattersburg	Austria	S	0,636363636	-0,045454545	-0,181818182	-0,090909091	0,181818182	-0,272727273	1,227272727	1,227272727
23	WAC	Admira	N	0,409090909	0,045454545	-0,090909091	-1	1,090909091	-1	0,909090909	1,545454545
23	Salzburg	SKN	S	1,636363636	-1,636363636	1,727272727	0,818181818	-1,545454545	-1,727272727	2,227272727	0,318181818
24	Admira	Austria	S	1,304347826	-0,086956522	1,090909091	-0,75	0,181818182	-0,333333333	1,608695652	1,173913043
24	WAC	SKN	N	0,304347826	-1,739130435	-0,25	-1	-1,545454545	-1,916666667	0,869565217	0,304347826
24	Rapid	LASK	S	0,913043478	0,304347826	0,166666667	0,727272727	0,75	-0,181818182	1,565217391	1,565217391
24	Altach	Mattersburg	U	0,434782609	-0,086956522	0,363636364	-0,916666667	-0,083333333	-0,090909091	1,130434783	1,304347826
24	Graz	Salzburg	N	1,347826087	1,391304348	1,181818182	0	1,916666667	0,818181818	1,956521739	2,260869565
25	LASK	Graz	N	0,833333333	0,458333333	0,75	-0,333333333	0,916666667	0	1,5	1,875
25	SKN	Altach	N	-0,291666667	-0,291666667	-1,545454545	-1,692307692	0,333333333	-0,916666667	0,416666667	1,125
25	Austria	WAC	S	0,708333333	-0,625	0,181818182	-0,384615385	-0,307692308	-1	1,125	0,833333333
25	Mattersburg	Admira	S	0,666666667	0,166666667	-0,083333333	-0,083333333	1,083333333	-0,75	1,291666667	1,666666667
25	Salzburg	Rapid	S	1,833333333	0,5	1,916666667	0,916666667	0,307692308	0,727272727	2,291666667	1,625
26	Altach	Rapid	U	0,48	0,44	0,333333333	-0,769230769	0,307692308	0,583333333	1,2	1,56
26	Austria	SKN	S	0,76	-1,6	0,333333333	-0,384615385	-1,5	-1,692307692	1,2	0,4
26	WAC	LASK	N	0,24	0,12	-0,307692308	-1,083333333	0,538461538	-0,333333333	0,8	1,44
26	Admira	Graz	N	1,32	0,52	1,083333333	-0,769230769	0,916666667	0,153846154	1,6	1,92
26	Mattersburg	Salzburg	U	0,68	1,4	0	-0,083333333	1,846153846	0,916666667	1,36	2,32
27	Rapid	WAC	S	0,884615385	-0,769230769	0,307692308	0,538461538	-0,5	-1,083333333	1,538461538	0,769230769
27	Graz	Altach	S	1,346153846	-0,230769231	0,916666667	0,285714286	0,307692308	-0,769230769	1,961538462	1,192307692
27	LASK	Mattersburg	S	0,807692308	-0,038461538	0,538461538	-0,076923077	0	-0,083333333	1,5	1,346153846
27	SKN	Admira	N	-0,307692308	0,038461538	-1,5	-1,857142857	0,846153846	-0,769230769	0,384615385	1,538461538
27	Salzburg	Austria	S	1,807692308	0,115384615	1,846153846	0,846153846	0,615384615	-0,384615385	2,269230769	1,269230769
28	Admira	LASK	N	1,222222222	0,296296296	0,846153846	-0,642857143	0,642857143	-0,076923077	1,592592593	1,555555556
28	Austria	Altach	S	0,851851852	-0,259259259	0,615384615	-0,714285714	0,307692308	-0,785714286	1,222222222	1,148148148
28	SKN	Graz	N	-0,333333333	0,592592593	-1,461538462	-1,857142857	0,923076923	0,285714286	0,37037037	2
28	Salzburg	WAC	S	1,925925926	-0,888888889	2,071428571	0,846153846	-0,5	-1,307692308	2,296296296	0,740740741
28	Mattersburg	Rapid	N	0,666666667	0,555555556	0	-0,230769231	0,571428571	0,538461538	1,296296296	1,592592593
29	Graz	Austria	N	1,464285714	-0,035714286	0,923076923	0,533333333	0,642857143	-0,714285714	2,035714286	1,285714286
29	Altach	Admira	N	0,464285714	0,035714286	0,307692308	-0,8	0,714285714	-0,642857143	1,107142857	1,535714286
29	Rapid	SKN	S	1,107142857	-1,75	0,571428571	0,642857143	-1,642857143	-1,857142857	1,642857143	0,357142857
29	WAC	Mattersburg	N	0,142857143	-0,178571429	-0,5	-1,357142857	-0,133333333	-0,230769231	0,714285714	1,25
29	LASK	Salzburg	S	0,857142857	1,5	0,642857143	0	2,066666667	0,846153846	1,607142857	2,321428571
30	Graz	Mattersburg	S	1,344827586	-0,103448276	0,714285714	0,533333333	-0,133333333	-0,071428571	1,965517241	1,310344828
30	SKN	LASK	N	-0,413793103	0,344827586	-1,642857143	-1,8	0,666666667	0	0,344827586	1,655172414
30	Altach	WAC	S	0,413793103	-0,965517241	0,214285714	-0,8	-0,6	-1,357142857	1,068965517	0,689655172
30	Austria	Rapid	N	0,896551724	0,620689655	0,642857143	-0,533333333	0,6	0,642857143	1,344827586	1,689655172
30	Admira	Salzburg	N	1,172413793	1,413793103	0,714285714	-0,533333333	2,066666667	0,714285714	1,586206897	2,24137931
31	WAC	Graz	S	0,1	0,7	-0,6	-1,333333333	0,866666667	0,533333333	0,666666667	2
31	LASK	Austria	S	0,933333333	-0,1	0,666666667	0,133333333	0,333333333	-0,533333333	1,7	1,3
31	Mattersburg	SKN	U	0,6	-1,733333333	-0,133333333	-0,266666667	-1,666666667	-1,8	1,266666667	0,333333333
31	Salzburg	Altach	S	2	-0,266666667	2,066666667	0,933333333	0,266666667	-0,8	2,266666667	1,133333333
31	Rapid	Admira	S	1,2	-0,066666667	0,6	0,866666667	0,4	-0,533333333	1,733333333	1,533333333
32	Austria	Mattersburg	N	0,709677419	-0,193548387	0,333333333	-0,5625	-0,125	-0,266666667	1,258064516	1,258064516
32	Altach	LASK	N	0,451612903	0,419354839	0,266666667	-0,875	0,6875	0,133333333	1,096774194	1,741935484
32	Admira	WAC	S	1	-0,903225806	0,4	-0,6875	-0,5	-1,333333333	1,483870968	0,741935484
32	Graz	Rapid	S	1,387096774	0,806451613	0,866666667	0,4375	0,75	0,866666667	1,935483871	1,774193548
32	SKN	Salzburg	N	-0,419354839	1,516129032	-1,666666667	-1,6875	2,0625	0,933333333	0,35483871	2,290322581
33	LASK	Rapid	N	0,96875	0,71875	0,6875	0,25	0,75	0,6875	1,78125	1,71875
33	SKN	WAC	N	-0,46875	-0,9375	-1,6875	-1,6875	-0,5	-1,375	0,34375	0,71875
33	Austria	Admira	U	0,65625	-0,09375	0,25	-0,5625	0,5	-0,6875	1,21875	1,53125
33	Mattersburg	Altach	N	0,65625	-0,375	-0,125	-0,1875	0,125	-0,875	1,3125	1,0625
33	Salzburg	Graz	S	2	0,6875	2,0625	1	0,9375	0,4375	2,3125	1,96875
34	Graz	LASK	S	1,393939394	0,393939394	0,9375	0,235294118	0,529411765	0,25	1,909090909	1,727272727
34	Admira	Mattersburg	U	1	-0,181818182	0,5	-0,647058824	-0,176470588	-0,1875	1,515151515	1,272727273
34	Altach	SKN	N	0,393939394	-1,666666667	0,125	-0,764705882	-1,647058824	-1,6875	1,121212121	0,333333333
34	Rapid	Salzburg	N	1,303030303	1,575757576	0,75	0,764705882	2,117647059	1	1,757575758	2,333333333
34	WAC	Austria	S	0,212121212	-0,151515152	-0,5	-1,235294118	0,235294118	-0,5625	0,787878788	1,212121212
35	Rapid	Altach	S	1,176470588	-0,382352941	0,529411765	0,764705882	0	-0,764705882	1,705882353	1,088235294
35	Salzburg	Mattersburg	S	2,088235294	-0,176470588	2,117647059	1,117647059	-0,176470588	-0,176470588	2,352941176	1,264705882
35	SKN	Austria	S	-0,382352941	-0,176470588	-1,647058824	-1,470588235	0,235294118	-0,588235294	0,411764706	1,176470588
35	Graz	Admira	S	1,411764706	-0,088235294	1	0,235294118	0,470588235	-0,647058824	1,941176471	1,5
35	LASK	WAC	N	0,882352941	-0,823529412	0,529411765	0,117647059	-0,411764706	-1,235294118	1,676470588	0,852941176
36	Admira	SKN	N	0,942857143	-1,457142857	0,470588235	-0,722222222	-1,444444444	-1,470588235	1,457142857	0,485714286
36	Austria	Salzburg	S	0,628571429	1,6	0,235294118	-0,666666667	2,055555556	1,117647059	1,142857143	2,371428571
36	Mattersburg	LASK	S	0,6	0,257142857	-0,176470588	-0,222222222	0,388888889	0,117647059	1,228571429	1,628571429
36	Altach	Graz	U	0,342857143	0,657142857	0	-0,888888889	1,055555556	0,235294118	1,057142857	1,971428571
36	WAC	Rapid	U	0,314285714	0,714285714	-0,411764706	-1,055555556	0,666666667	0,764705882	0,914285714	1,742857143
