gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalsShoot	homeTotalGoalsReceived	homeTotalGoalDiff	guestTotalGoalsShoot	guestTotalGoalsReceived	guestTotalGoalDiff	homeTeamGoalsShootAtHome	homeTeamGoalsReceivedAtHome	homeTeamGoalsDiffAtHome	homeTeamGoalsShootAway	homeTeamGoalsReceivedAway	homeTeamGoalsDiffAway	guestTeamGoalsShootAtHome	guestTeamGoalsReceivedAtHome	guestTeamGoalsDiffAtHome	guestTeamGoalsShootAway	guestTeamGoalsReceivedAway	guestTeamGoalsDiffAway	homeTeamPointsTotal	guestTeamPointsTotal	hoamTeamAvgPoints	guestTeamAvgPoints						
8	Altach	Rapid	U	1	0,142857143	0,857142857	1,857142857	1,714285714	0,142857143	1,333333333	0,333333333	1	0,75	1,5	-0,75	1,5	1,5	0	2,333333333	2	0,333333333	10	9	1,428571429	1,285714286						
8	Admira	Graz	S	2	0,714285714	1,285714286	2,142857143	1,428571429	0,714285714	2,666666667	1,666666667	1	1,5	2,5	-1	2	1	1	2,25	1,75	0,5	9	18	1,285714286	2,571428571						
8	WAC	LASK	U	1,142857143	0,428571429	0,714285714	1,142857143	0,714285714	0,428571429	1,25	0,75	0,5	1	1,666666667	-0,666666667	1,75	0,25	1,5	0,333333333	1,333333333	-1	10	11	1,428571429	1,571428571						
8	Mattersburg	Salzburg	N	0,857142857	1,571428571	-0,714285714	2,285714286	0,857142857	1,428571429	1	2,75	-1,75	0,666666667	1	-0,333333333	3,25	1,25	2	1	0,333333333	0,666666667	5	14	0,714285714	2						
8	Austria	SKN	S	2	0,714285714	1,285714286	0,857142857	2,571428571	-1,714285714	2	1,666666667	0,333333333	2	1,75	0,25	0,666666667	2	-1,333333333	1	3	-2	11	1	1,571428571	0,142857143						
9	Rapid	WAC	S	1,875	0,75	1,125	1	1	0	1,5	1,5	0	2,25	2	0,25	1	0,6	0,4	1	1,666666667	-0,666666667	10	11	1,25	1,375						
9	SKN	Admira	U	0,875	0,75	0,125	2	2	0	0,666666667	2	-1,333333333	1	3,4	-2,4	2,5	1,5	1	1,5	2,5	-1	1	12	0,125	1,5						
9	Graz	Altach	U	2	0,375	1,625	1,125	1,125	0	2	1	1	2	1,8	0,2	1,5	0,75	0,75	0,75	1,5	-0,75	18	11	2,25	1,375						
9	LASK	Mattersburg	U	1	0,125	0,875	0,875	2	-1,125	1,75	0,25	1,5	0,25	1	-0,75	1	2,6	-1,6	0,666666667	1	-0,333333333	12	5	1,5	0,625						
9	Salzburg	Austria	U	2,25	0,625	1,625	2,375	1,625	0,75	3,25	1,25	2	1,25	0,5	0,75	2,75	1,5	1,25	2	1,75	0,25	17	14	2,125	1,75						
