,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers
254,Bundesliga,Sa. 14.09.2019,7,,,413,LASK,,,122,SK Sturm Graz,cd7632ae29d301848285a8949da7242cbc9fd2b797896484ca624134be0f2815,-:-,2019/20,-,0
255,Bundesliga,Sa. 21.09.2019,8,,,122,SK Sturm Graz,,,856,SV Mattersburg,075a3a4d6270ad70ae74ee1d1a628fe43b8625cd495b4bb954faa0bfc88a8d20,-:-,2019/20,-,0
256,Bundesliga,Sa. 28.09.2019,9,,,503,FC Admira Wacker Mödling,,,122,SK Sturm Graz,f5452214eabe7dd37a7c0e7602a554e8d580b2dd80136bf084a6bf55dad5e013,-:-,2019/20,-,0
257,Bundesliga,Sa. 05.10.2019,10,,,122,SK Sturm Graz,,,14,FK Austria Wien,f25f7422440d28baa6e29f8e2ec6822f9fefd8809a86ebbeda67814258620e96,-:-,2019/20,-,0
258,Bundesliga,Sa. 19.10.2019,11,,,409,Red Bull Salzburg,,,122,SK Sturm Graz,5019dfb6d13f67f8bdf4a1ea9caa4810fa30e19b77a620accc65c95118bad945,-:-,2019/20,-,0
259,Bundesliga,Sa. 26.10.2019,12,,,122,SK Sturm Graz,,,2662,SKN St. Pölten,34736e5e2a2321c7be2c944619f9e7136356f65e04ed7c2eaa20ee1c19587ef3,-:-,2019/20,-,0
260,Bundesliga,Sa. 02.11.2019,13,,,4441,Wolfsberger AC,,,122,SK Sturm Graz,b3c15d16454b61732707edac39b8487e6b68387761fa766cb69d24533928c837,-:-,2019/20,-,0
261,Bundesliga,Sa. 09.11.2019,14,,,4467,TSV Hartberg,,,122,SK Sturm Graz,377e5303c4784013084bd5b9cbc6e714a9e1a7191652e25df514729ba91ecf6d,-:-,2019/20,-,0
262,Bundesliga,Sa. 23.11.2019,15,,,122,SK Sturm Graz,,,170,SK Rapid Wien,5d918a833756281d5b0c750963d33ae9a218f8d79eb08b36c65a899981a4a08e,-:-,2019/20,-,0
263,Bundesliga,Sa. 30.11.2019,16,,,122,SK Sturm Graz,,,2446,WSG Tirol,cb08a72a572a318a60ede8bc64b14bf5ec92a26b34621e49ebe25c6c565cd1a5,-:-,2019/20,-,0
