,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers,weekday,day,month,year
829,Regionalliga West,2010-09-28 19:00:00,15,,,2235,FC Kufstein,Roland Kirchler,?,2446,WSG Wattens,d341457acf4ada7bc907b61f3049dd4e595963651fe18425049d0526fa52c7e4,4:4,2010/11,19:00,350,1,28,9,2010
830,Regionalliga West,2010-06-11 14:00:00,16,Roland Kirchler,?,2446,WSG Wattens,,,17556,TSV St. Johann,98a304f7e675197bab2227fdf1269aff55380d2e68580f24b27c90fc133bbe5a,2:2,2010/11,14:00,200,4,11,6,2010
831,Regionalliga West,2010-11-13 15:30:00,17,Roland Kirchler,?,2446,WSG Wattens,,,936,SC Bregenz,d89d7cec5383143f58cc0c4af9aafb816f76999e6cb55f0cb741760bce6d37e4,2:3,2010/11,15:30,1000,5,13,11,2010
832,Regionalliga West,2011-03-19 14:00:00,18,,,4466,SVG Reichenau,Roland Kirchler,?,2446,WSG Wattens,5d312bacca1bd53e0069bb04c3b119fc5a8b8036d8b9b751e6853d5ee25725e1,1:0,2010/11,14:00,300,5,19,3,2011
833,Regionalliga West,2011-03-26 16:00:00,19,Roland Kirchler,?,2446,WSG Wattens,,,7448,FC Dornbirn,d02460467c84549ff2a91182ad8b5716980425757188b58b648f47891e821cf7,0:0,2010/11,16:00,650,5,26,3,2011
834,Regionalliga West,2011-02-04 15:00:00,20,,,5469,USK Anif,Roland Kirchler,?,2446,WSG Wattens,8a3cf3e88a9a9ba389b1d573587faa0885da1f34598ed7f80e14f714a6427dc4,2:1,2010/11,15:00,600,4,4,2,2011
835,Regionalliga West,2011-09-04 15:00:00,21,,,18344,FC Wacker Innsbruck II,Roland Kirchler,?,2446,WSG Wattens,75c95282c447357330baa34b904f328e9f511974ad50c279daa47a83d955ddb5,0:1,2010/11,15:00,300,6,4,9,2011
836,Regionalliga West,2011-04-15 19:00:00,22,Roland Kirchler,?,2446,WSG Wattens,,,2981,TSV Neumarkt,115dbc6dac67ff106c1e64c24d2585fd0d788deb046018fcfdfb63a9b26479b7,0:1,2010/11,19:00,154,4,15,4,2011
837,Regionalliga West,2011-04-23 14:00:00,23,,,8323,FC Höchst,Roland Kirchler,?,2446,WSG Wattens,3136b356d7475c1e9abf0c000380b7639b9c8e19a9bc853c0190279570653982,3:0,2010/11,14:00,200,5,23,4,2011
838,Regionalliga West,2011-04-30 17:00:00,24,Roland Kirchler,?,2446,WSG Wattens,,,11853,SV Austria Salzburg,f561f68fd27bb8fe9365e39ce6cdc77c68e63bc70925f183b033585a37aa689e,0:0,2010/11,17:00,1300,5,30,4,2011
839,Regionalliga West,2011-07-05 17:00:00,25,,,3473,FC Hard,Roland Kirchler,?,2446,WSG Wattens,d70ff2ab9b92c410dbcaea10531b26e4765be4ca7cbe0e1f35577e1409d5ffae,2:1,2010/11,17:00,100,1,5,7,2011
840,Regionalliga West,2011-05-14 18:30:00,26,Roland Kirchler,?,2446,WSG Wattens,,,4824,Union Innsbruck,0650104a6f1376a0b1e7a3cde411fe940e9be9bb267c81f76b11041dfb8344c7,2:3,2010/11,18:30,250,5,14,5,2011
841,Regionalliga West,2011-05-20 19:00:00,27,,,4463,SV Seekirchen,Roland Kirchler,?,2446,WSG Wattens,90a9ce9f60b6e29ce79facbccec6f2ef629b9f293e9dd5d16de1ee7b40f3f37f,3:0,2010/11,19:00,250,4,20,5,2011
842,Regionalliga West,2011-05-28 17:00:00,28,Roland Kirchler,?,2446,WSG Wattens,,,7780,SC Rheindorf Altach Juniors,6989ebefe22ff9baeeecb52812ffa560e3354a954e829922a5b642de37586f6a,1:1,2010/11,17:00,100,5,28,5,2011
843,Regionalliga West,2011-04-06 16:00:00,29,,,6227,Red Bull Juniors Salzburg,Roland Kirchler,?,2446,WSG Wattens,97158367652f619465af9091b2cd0785a9f383f2fdc97208edd3e0b04b6201e1,0:3,2010/11,16:00,360,2,6,4,2011
844,Regionalliga West,2011-04-05 19:00:00,30,Roland Kirchler,?,2446,WSG Wattens,,,2235,FC Kufstein,47e2792cf13bfe4e004123baed490c9d5b7e71196f220bf0d4a53d000883c8da,2:1,2010/11,19:00,300,1,5,4,2011
847,ÖFB-Cup,2010-08-13 19:00:00,1.Runde,,,6753,SV Feldkirchen,Simon Knöbl,?,4320,SC/ESV Parndorf,cf83638420d0abc98a9cb5c1a5f8d8b7512a1aeddeefb77eb1a3d8165b402b73,4:0,2010/11,19:00,350,4,13,8,2010
848,ÖFB-Cup,2010-09-18 18:00:00,2.Runde,,,122,SK Sturm Graz,Simon Knöbl,?,4320,SC/ESV Parndorf,d54c80d77b1c49abd2c618986f226f2e63ecb6f48c9cbf1a9e5dee73308678e5,1:2,2010/11,18:00,1800,5,18,9,2010
849,Regionalliga Ost,2010-08-21 18:00:00,1,,,7443,FAC Team für Wien,Simon Knöbl,?,4320,SC/ESV Parndorf,3bfe8d93dc7b3e9e18a1514f0d7e6da111561d7a69cd490cf1e9604a57916f83,3:0,2010/11,18:00,450,5,21,8,2010
850,Regionalliga Ost,2010-08-27 19:30:00,2,Simon Knöbl,?,4320,SC/ESV Parndorf,,,7001,SK Rapid Wien II,5a39a558952c8a68ba115031c88fcf603053199fef8e8dc2f0d9cf3f9ef0138e,2:2,2010/11,19:30,200,4,27,8,2010
851,Regionalliga Ost,2010-07-09 19:30:00,3,,,4462,SV Schwechat,Simon Knöbl,?,4320,SC/ESV Parndorf,b1162459734c7ccbbb39b7762d7dcb4a0ac2f08b49c659308855d1d8429e7bd0,3:0,2010/11,19:30,500,4,9,7,2010
852,Regionalliga Ost,2010-03-09 19:00:00,4,Simon Knöbl,?,4320,SC/ESV Parndorf,,,9114,SC Neusiedl/See,3f23395f6429709b01020b694fce78c216c88b6190e82116cb5ccf993906ce86,4:2,2010/11,19:00,1950,1,9,3,2010
853,Regionalliga Ost,2010-10-09 19:00:00,5,,,8086,1. SC Sollenau,Simon Knöbl,?,4320,SC/ESV Parndorf,17b22834597b2a7c102bbe29040faad9e9b2f42b26b9c818d737a23cbd618d49,2:0,2010/11,19:00,600,5,9,10,2010
854,Regionalliga Ost,2010-09-21 19:30:00,6,Simon Knöbl,?,4320,SC/ESV Parndorf,,,10044,SV Horn,626aa4583612098b97774e0ed26a6cc4275915281662d9cfdca89910f1dd6b62,3:3,2010/11,19:30,1040,1,21,9,2010
855,Regionalliga Ost,2010-09-25 18:00:00,7,,,4383,FK Austria Wien Amateure,Simon Knöbl,?,4320,SC/ESV Parndorf,b658dcca2e84ce60fbe741ef1f5b62dbed8619ab4a1ea27e8868a77628e75718,4:0,2010/11,18:00,500,5,25,9,2010
856,Regionalliga Ost,2010-02-10 16:00:00,8,Simon Knöbl,?,4320,SC/ESV Parndorf,,,11878,SC Columbia Floridsdorf,a2970944e0d3c256103571c129f80ed617f8f295b3321d359e9dfdfb5bc3d932,2:0,2010/11,16:00,550,2,10,2,2010
857,Regionalliga Ost,2010-08-10 19:00:00,9,,,676,Wiener Sportklub,Simon Knöbl,?,4320,SC/ESV Parndorf,bdf03e8be0646b23de1e924b5a3ee4026d01b68ce956b4b4c36a018ab2e34659,1:3,2010/11,19:00,550,1,10,8,2010
858,Regionalliga Ost,2010-10-16 15:30:00,10,Simon Knöbl,?,4320,SC/ESV Parndorf,,,4375,FC Admira Wacker Mödling II,6127462e139961df9d63541eaff453c6902f8d29696da54f297f16b207d1f0a0,2:3,2010/11,15:30,40,5,16,10,2010
859,Regionalliga Ost,2010-10-22 19:00:00,11,,,8573,ASK Baumgarten,Simon Knöbl,?,4320,SC/ESV Parndorf,42ec32ff79aec1f6236e2081bbfd95d88c4f69dcfa3d41de5935b0cadde4e89b,5:1,2010/11,19:00,550,4,22,10,2010
860,Regionalliga Ost,2010-10-29 19:00:00,12,,,2615,FC Waidhofen/Ybbs,Simon Knöbl,?,4320,SC/ESV Parndorf,396b662e648f2d644f3f574888bcd5c2dffa8ace1d887b98af22078ed1e86b31,0:0,2010/11,19:00,500,4,29,10,2010
861,Regionalliga Ost,2010-06-11 19:00:00,13,Simon Knöbl,?,4320,SC/ESV Parndorf,,,7445,SC Ritzing,5f945af1c560d9d83e3b885fc93d73cf21bd0bba42ea062a19dd86458772565f,0:2,2010/11,19:00,450,4,11,6,2010
862,Regionalliga Ost,2010-12-11 19:00:00,14,,,7557,SV Mattersburg II,Simon Knöbl,?,4320,SC/ESV Parndorf,d1847b4c877c7b0abbb9cd0e62258599ef4ffcb0d768ebb1a61de53e4ab3ab23,2:1,2010/11,19:00,750,5,11,12,2010
863,Regionalliga Ost,2010-08-17 17:30:00,15,Simon Knöbl,?,4320,SC/ESV Parndorf,,,10205,SC Ostbahn XI,141a6c0a37e2abc8a45ae0586fb1128f8544a7c70e67ff34a378385445da2bf5,0:3,2010/11,17:30,380,1,17,8,2010
864,Regionalliga Ost,2011-04-03 19:00:00,16,Simon Knöbl,?,4320,SC/ESV Parndorf,,,7443,FAC Team für Wien,d3e2ac22416e0b6e156878bd7a0ab24a5447ca22087eab0b17eba2e985ab7138,1:1,2010/11,19:00,300,6,3,4,2011
865,Regionalliga Ost,2011-11-03 19:00:00,17,,,7001,SK Rapid Wien II,Simon Knöbl,?,4320,SC/ESV Parndorf,50e679f0224e8a96657a3a27c971b81f5b60d11d5dca2ba9f27cfe656733a306,1:3,2010/11,19:00,600,3,3,11,2011
866,Regionalliga Ost,2011-03-18 19:30:00,18,Simon Knöbl,?,4320,SC/ESV Parndorf,,,4462,SV Schwechat,d59ac7b73ce7f913f6a8d68b549b2646e66ab9ded067cf53814b153b642bbc95,2:1,2010/11,19:30,400,4,18,3,2011
867,Regionalliga Ost,2011-03-24 19:00:00,19,,,9114,SC Neusiedl/See,Simon Knöbl,?,4320,SC/ESV Parndorf,76ef273ac07a6999838dc3775e976125be1ec1c8af27d8bc980f919b49eaae56,2:0,2010/11,19:00,1650,3,24,3,2011
868,Regionalliga Ost,2011-01-04 20:00:00,20,Simon Knöbl,?,4320,SC/ESV Parndorf,,,8086,1. SC Sollenau,35252b617190a9478beebf9a00a1d329a5837f777c287f0f9a19edd5488ffa90,2:1,2010/11,20:00,580,1,4,1,2011
869,Regionalliga Ost,2011-08-04 19:00:00,21,,,10044,SV Horn,Simon Knöbl,?,4320,SC/ESV Parndorf,6e076855bc48614bc1eab90bbde39d1c1ebea485bd82863a8ab328ef733f9431,2:2,2010/11,19:00,1050,3,4,8,2011
870,Regionalliga Ost,2011-04-15 19:00:00,22,Simon Knöbl,?,4320,SC/ESV Parndorf,,,4383,FK Austria Wien Amateure,1e8817fe716e5a1e4c6ea6e29d6185e1d6663e4f6fba739c84111bff0f13f240,1:1,2010/11,19:00,180,4,15,4,2011
871,Regionalliga Ost,2011-04-22 19:00:00,23,,,11878,SC Columbia Floridsdorf,Simon Knöbl,?,4320,SC/ESV Parndorf,f202da64f2cb480066078f74ccf4548e1732ad1583c1a77a5bd744b42e48031d,3:0,2010/11,19:00,500,4,22,4,2011
872,Regionalliga Ost,2011-04-25 16:00:00,24,Simon Knöbl,?,4320,SC/ESV Parndorf,,,676,Wiener Sportklub,e8c6cee4d5751f774975b4339a95c6f52ee8ead63c18781e686e284f44475906,0:5,2010/11,16:00,1770,0,25,4,2011
873,Regionalliga Ost,2011-04-29 19:00:00,25,,,4375,FC Admira Wacker Mödling II,Simon Knöbl,?,4320,SC/ESV Parndorf,7743ed9a0165b41adc4354dc209caada6f49c1f7b0d12e3baa10d8722b6c3031,6:0,2010/11,19:00,500,4,29,4,2011
874,Regionalliga Ost,2011-06-05 19:30:00,26,Simon Knöbl,?,4320,SC/ESV Parndorf,,,8573,ASK Baumgarten,c7ba0f8f57b116a322a650c6421cbc2fdeda2a3c4d22a912731470a44d188c36,0:8,2010/11,19:30,200,6,5,6,2011
875,Regionalliga Ost,2011-05-13 19:30:00,27,Simon Knöbl,?,4320,SC/ESV Parndorf,,,2615,FC Waidhofen/Ybbs,ed33982e98e60bcad4f40afd4e0cffa5e582d41bda37a77bb6975d75c4d7d935,4:3,2010/11,19:30,300,4,13,5,2011
876,Regionalliga Ost,2011-05-20 19:00:00,28,,,7445,SC Ritzing,Simon Knöbl,?,4320,SC/ESV Parndorf,292e1f05cee351e11c5bc6bdbb54ad2189eeca4d2a72983e4d50ae9705f0314c,5:0,2010/11,19:00,550,4,20,5,2011
877,Regionalliga Ost,2011-05-27 18:30:00,29,Simon Knöbl,?,4320,SC/ESV Parndorf,,,7557,SV Mattersburg II,92cf53acf7f84fd2ad7c78a8e486c5a005f569ce068ba2b9492c0f79f14750cb,1:2,2010/11,18:30,500,4,27,5,2011
878,Regionalliga Ost,2011-01-06 18:30:00,30,,,10205,SC Ostbahn XI,Simon Knöbl,?,4320,SC/ESV Parndorf,748b4242bb8f5b0c72b5206fb0dd2fcfc87e612a0054613bf3c6c4af5072f8c1,5:0,2010/11,18:30,1050,3,6,1,2011
917,ÖFB-Cup,2010-08-14 16:00:00,1.Runde,Nenad Bjelica,?,4441,WAC - St. Andrä,,,4429,SAK Klagenfurt,04343fb67bf2e74a32c57697916247d7a981d16874c521a5bca15657e9bf4d55,6:7  n.E.,2010/11,16:00,2000,5,14,8,2010
918,ÖFB-Cup,2010-09-17 19:00:00,2.Runde,Nenad Bjelica,4-4-2 Raute,4441,WAC - St. Andrä,,,1521,SK Vorwärts Steyr,5f9836168769a3378e9770d8d33a3bf63e74d9d2844282d511c5ed7c5ab15304,3:2,2010/11,19:00,1800,4,17,9,2010
919,2. Liga,2011-11-07 18:30:00,1,Alfred Tatar,4-4-2,2364,First Vienna FC,Adi Hütter,4-2-3-1 ,3551,SC Rheindorf Altach,6faa983831a961825a4c248c27aecc386937fe54219150e576b1f2c1c86dc90b,1:1,2011/12,18:30,3882,0,7,11,2011
920,2. Liga,2011-07-15 20:30:00,2,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,Kurt Garger,4-2-3-1 ,4467,TSV Hartberg,ebd01aace62b6e53f64ed43f3f4762c740057f9bf5e13e80e4e6d521fecf5769,0:4,2011/12,20:30,1500,4,15,7,2011
921,2. Liga,2011-07-19 18:30:00,3,Helgi Kolvidsson,4-2-3-1 ,541,SC Austria Lustenau,Adi Hütter,4-2-3-1 ,3551,SC Rheindorf Altach,106dd3b2cdf9db0b8e70f056e82107438ae52e7ed06aa681f43da39c8eb72094,1:1,2011/12,18:30,5869,1,19,7,2011
922,2. Liga,2011-07-22 20:30:00,4,Adi Hütter,4-4-2 Raute,3551,SC Rheindorf Altach,Walter Schachner,4-4-2,413,LASK,197318cab5afa5e7a9d6d2b162367ee3304de15a8e638789570a1b0485cc48e3,0:2,2011/12,20:30,2800,4,22,7,2011
923,2. Liga,2011-07-29 18:30:00,5,Nenad Bjelica,4-4-2,4441,WAC - St. Andrä,Adi Hütter,4-1-3-2,3551,SC Rheindorf Altach,2b16d78c55f6aa66ab55a2d3a59bf18ab364f3b61d998091c37de11ac3257ff7,1:2,2011/12,18:30,4600,4,29,7,2011
924,2. Liga,2011-02-08 18:30:00,6,Adi Hütter,4-1-4-1,3551,SC Rheindorf Altach,Martin Scherb,4-4-2,2662,SKN St. Pölten,b2211713fff2e4cb9b626cd4df7edfbe113bf16719a10e20f2fa90eed7dc95ae,1:2,2011/12,18:30,1650,1,8,2,2011
925,2. Liga,2011-12-08 18:30:00,7,Hans Kogler,4-1-4-1,2231,FC Lustenau,Adi Hütter,4-2-3-1 ,3551,SC Rheindorf Altach,6a08d07ffc3dff65b895e11a1e7b33e13e5aacda184d15c2ccddad9da64a0ba1,4:1,2011/12,18:30,4072,3,8,12,2011
926,2. Liga,2011-08-19 18:30:00,8,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,Thomas Weissenböck,4-1-4-1,2157,FC Blau Weiß Linz,681e4c791eb2300e16af30751b38b8881e18ccccb88f456419003d46076adec4,2:0,2011/12,18:30,1700,4,19,8,2011
927,2. Liga,2011-08-23 18:30:00,9,Heimo Pfeifenberger,4-1-4-1,10131,SV Grödig,Adi Hütter,4-2-3-1 ,3551,SC Rheindorf Altach,317a5deb7b0dd276a8a68fb3e6e40c77fe266541a6a190aede5c4d85ef548e8b,1:2,2011/12,18:30,2800,1,23,8,2011
928,2. Liga,2011-08-26 20:30:00,10,Adi Hütter,4-3-3 defensiv,3551,SC Rheindorf Altach,Alfred Tatar,4-1-4-1,2364,First Vienna FC,29e97167aa0009a6ddbc46c924c8339072ce5f1d295858a23b41cc46501c2837,0:1,2011/12,20:30,1900,4,26,8,2011
929,2. Liga,2011-09-09 18:30:00,11,Kurt Garger,4-1-4-1,4467,TSV Hartberg,Adi Hütter,4-3-3 offensiv,3551,SC Rheindorf Altach,e7523e56465fd51470929311d312a7990726a04ae38ee76b98c23392e4e108ac,4:2,2011/12,18:30,3065,4,9,9,2011
930,2. Liga,2011-09-16 20:30:00,12,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,Helgi Kolvidsson,4-1-4-1,541,SC Austria Lustenau,d0d54f91b2bc656ac59b4a6ea59e3b10dd368547c2b3077bfb67dbc661af873a,0:5,2011/12,20:30,7500,4,16,9,2011
931,2. Liga,2011-09-23 20:30:00,13,Walter Schachner,4-4-2,413,LASK,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,01839cd484d30a181d9e3fbf8307d8379175662eb34fa221b728b5e528bb547a,2:0,2011/12,20:30,4154,4,23,9,2011
932,2. Liga,2011-09-30 18:30:00,14,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,Nenad Bjelica,4-4-2,4441,WAC - St. Andrä,2eeac35c03eb9ef54d85b730cf423a451d72ec5353924a871f6559d3c0b21f96,2:2,2011/12,18:30,3600,4,30,9,2011
933,2. Liga,2011-10-14 18:30:00,15,Martin Scherb,4-1-4-1,2662,SKN St. Pölten,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,82b86c68461891f2cc3d3524521cd3148b240dcc40abfb446c3ea2ed7f7998ef,1:0,2011/12,18:30,3600,4,14,10,2011
934,2. Liga,2011-10-21 18:30:00,16,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,Damir Canadi,4-4-2 Raute,2231,FC Lustenau,ee5d7a56746e255cd74ff369ce4a10d8d03ff0c3e32421e30163d990c9c4ad41,2:2,2011/12,18:30,4400,4,21,10,2011
935,2. Liga,2011-10-28 18:30:00,17,Thomas Weissenböck,4-1-3-2,2157,FC Blau Weiß Linz,Adi Hütter,4-1-3-2,3551,SC Rheindorf Altach,4fe2584e50d220cec7cebfcbd476c24d0770f2e54c56e794596bde44a85f1431,2:0,2011/12,18:30,3380,4,28,10,2011
936,2. Liga,2011-04-11 18:30:00,18,Adi Hütter,4-2-3-1 ,3551,SC Rheindorf Altach,Heimo Pfeifenberger,4-1-4-1,10131,SV Grödig,916042622de5fb1f9a4e23cec1b15887bb781bb09baa64ed1440b5da6e69caed,2:1,2011/12,18:30,850,0,11,4,2011
937,2. Liga,2011-11-18 20:30:00,19,Alfred Tatar,4-4-2 doppel 6,2364,First Vienna FC,Adi Hütter,4-1-3-2,3551,SC Rheindorf Altach,75b9d63481d2e25c668bf0c718138182cb5537363ab4ef635e6c8d400389c4f3,4:2,2011/12,20:30,2804,4,18,11,2011
938,2. Liga,2011-11-25 18:30:00,20,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,Kurt Garger,4-5-1,4467,TSV Hartberg,2d541e829ad26bf4b43a1b5447fac9d7d0f34de8d9b99bb5595ab274f3d12e10,0:2,2011/12,18:30,600,4,25,11,2011
939,2. Liga,2011-11-29 18:30:00,21,Helgi Kolvidsson,4-2-3-1 ,541,SC Austria Lustenau,Adi Hütter,4-2-3-1 ,3551,SC Rheindorf Altach,ceaf7a678171fac3b118e9c8a7b47ee41b7c3a2585266ad49ab8cf4a13eaa575,1:1,2011/12,18:30,5129,1,29,11,2011
940,2. Liga,2012-02-03 20:30:00,22,Adi Hütter,4-1-4-1,3551,SC Rheindorf Altach,Walter Schachner,4-4-2,413,LASK,ab3ed9c74d45006c69d234ea962d5257aa3fadc70efe7630f14c8cdd856c601a,3:2,2011/12,20:30,3900,4,3,2,2012
941,2. Liga,2012-09-03 20:30:00,23,Nenad Bjelica,4-4-2,4441,WAC - St. Andrä,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,b6124235a2600f7461c868095ae6efb92387b89863d86c18d0a256dc204d339a,0:0,2011/12,20:30,3877,0,3,9,2012
942,2. Liga,2012-03-16 18:30:00,24,Adi Hütter,4-3-3 defensiv,3551,SC Rheindorf Altach,Martin Scherb,4-4-2 doppel 6,2662,SKN St. Pölten,31bb68c7ec8453f3946424215323eae2b455e710e7525bdc9f4b1aa24015adbe,1:3,2011/12,18:30,1150,4,16,3,2012
943,2. Liga,2012-03-23 18:30:00,25,Damir Canadi,3-3-3-1,2231,FC Lustenau,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,ad79848d0c43421ea73cff2d566825f49f7db9e63b65e74907ada5ab03c362af,1:1,2011/12,18:30,4081,4,23,3,2012
944,2. Liga,2012-03-27 18:30:00,26,Adi Hütter,4-2-3-1 ,3551,SC Rheindorf Altach,Thomas Weissenböck,4-1-4-1,2157,FC Blau Weiß Linz,fd10a56d3da36004fb75ea19c2cdf3a9114c596bee6a957a5361b0a735a0b0b4,1:0,2011/12,18:30,1200,1,27,3,2012
945,2. Liga,2012-03-30 18:30:00,27,Heimo Pfeifenberger,4-4-2 Raute,10131,SV Grödig,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,9792c99fe4481058233aa90c61abf86d9e1ba752afd0c7c5c8ead2aba6a4ceee,2:0,2011/12,18:30,2658,4,30,3,2012
946,2. Liga,2012-03-04 18:30:00,28,Adi Hütter,4-4-2 doppel 6,3551,SC Rheindorf Altach,Alfred Tatar,4-3-3 offensiv,2364,First Vienna FC,d5efbc56be343ebfcb800caeeeaef99130ffbbb862b11148e11ae3d596ff135b,2:0,2011/12,18:30,2300,6,4,3,2012
947,2. Liga,2012-04-14 16:00:00,29,Walter Hörmann,4-1-4-1,4467,TSV Hartberg,Edmund Stöhr,4-4-2 doppel 6,3551,SC Rheindorf Altach,3f7f57a14b879eda7918ecfb4b14c06ae27da805613c7687a3e2800601de5c95,1:0,2011/12,16:00,3211,5,14,4,2012
948,2. Liga,2012-04-17 18:30:00,30,Edmund Stöhr,4-1-4-1,3551,SC Rheindorf Altach,Helgi Kolvidsson,4-2-3-1 ,541,SC Austria Lustenau,2d1a4ae80049bc8917433657b2245c1c46adfc36df97b24c24d38e2e63f5c2b6,4:1,2011/12,18:30,7400,1,17,4,2012
949,2. Liga,2012-04-20 20:30:00,31,Walter Schachner,4-4-2,413,LASK,Edmund Stöhr,4-1-4-1,3551,SC Rheindorf Altach,4083c0a7d11bf98185de79a265c6392638c34cc37f0527a84459b747ac89d031,0:1,2011/12,20:30,2602,4,20,4,2012
950,2. Liga,2012-04-27 20:30:00,32,Edmund Stöhr,4-2-3-1 ,3551,SC Rheindorf Altach,Nenad Bjelica,4-4-2,4441,WAC - St. Andrä,e6afe840c84b4e3ea9020e7c963f01a2b4d0f0fa2b79f78440e5d0529b2999fc,1:0,2011/12,20:30,3550,4,27,4,2012
951,2. Liga,2012-04-05 18:30:00,33,Martin Scherb,4-4-2 doppel 6,2662,SKN St. Pölten,Edmund Stöhr,4-1-4-1,3551,SC Rheindorf Altach,83377127793846bbacb37436b177c4a3e89432bdaaa8ec2c0d2f4e0bead34c84,1:0,2011/12,18:30,2000,3,5,4,2012
952,2. Liga,2012-08-05 18:30:00,34,Edmund Stöhr,4-1-4-1,3551,SC Rheindorf Altach,Damir Canadi,3-3-3-1,2231,FC Lustenau,2798508f04a5d60cf0d93d1a62f94e0231dac6e93912c1874a3c2d1de4891cad,2:2,2011/12,18:30,2500,6,5,8,2012
953,2. Liga,2012-11-05 20:30:00,35,Thomas Weissenböck,4-3-2-1,2157,FC Blau Weiß Linz,Edmund Stöhr,4-4-2 doppel 6,3551,SC Rheindorf Altach,3a53031b42b5a6a63c850ae2230b35fb009acbd5c46c0c3098fa923a229a349f,4:1,2011/12,20:30,1957,0,5,11,2012
954,2. Liga,2012-05-18 20:30:00,36,Edmund Stöhr,4-4-2 doppel 6,3551,SC Rheindorf Altach,Heimo Pfeifenberger,4-4-2 doppel 6,10131,SV Grödig,413e381e2cf4cd8430a844a4103d1f9467be1bd533f5a0414ffc9722268aedc0,1:2,2011/12,20:30,650,4,18,5,2012
955,ÖFB-Cup,2011-06-08 18:00:00,1.Runde,Adi Hütter,4-2-3-1 ,3551,SC Rheindorf Altach,,,2472,Union St. Florian,0da0d69855cb129348ea4f3cb9e01b2850a69edd2edbbf93b94b09b05ff87bd7,2:0,2011/12,18:00,350,2,8,6,2011
956,2. Liga,2011-12-07 18:30:00,1,Helgi Kolvidsson,4-2-3-1 ,541,SC Austria Lustenau,Heimo Pfeifenberger,4-1-4-1,10131,SV Grödig,fad00de8dde9a61e50aaaf0e35cc9edb36a90d96fe5d020602dcfdf15b653590,1:2,2011/12,18:30,1100,2,7,12,2011
957,2. Liga,2011-07-15 18:30:00,2,Heimo Pfeifenberger,4-4-2 doppel 6,10131,SV Grödig,Nenad Bjelica,4-4-2,4441,WAC - St. Andrä,b4a86114d803c21c01293a7a98ec22aa1fb3bcad027596bda413a1cbce8f8e57,1:0,2011/12,18:30,2000,4,15,7,2011
958,2. Liga,2011-07-19 18:30:00,3,Martin Scherb,4-4-2,2662,SKN St. Pölten,Heimo Pfeifenberger,4-4-2,10131,SV Grödig,9b6775524c836881b7d6a7196d489a8ef2c527f9f67c9a44bbe3ea116efafb81,2:2,2011/12,18:30,900,1,19,7,2011
959,2. Liga,2011-07-22 18:30:00,4,Heimo Pfeifenberger,4-4-2 doppel 6,10131,SV Grödig,Kurt Garger,4-4-2,4467,TSV Hartberg,7d72a0f224fc58b1e3e644a694e5868776bdb52d8d228853733c2b542e079385,2:4,2011/12,18:30,900,4,22,7,2011
960,2. Liga,2011-07-29 18:30:00,5,Heimo Pfeifenberger,4-4-2 doppel 6,10131,SV Grödig,Hans Kogler,4-2-3-1 ,2231,FC Lustenau,289c985601851f9a8dc1f3719a10188d72fd9a28c6a99bfb3cc72617e55a3cfe,1:3,2011/12,18:30,800,4,29,7,2011
961,2. Liga,2011-02-08 18:30:00,6,Alfred Tatar,4-4-2 doppel 6,2364,First Vienna FC,Heimo Pfeifenberger,4-4-2 doppel 6,10131,SV Grödig,f51f5f8545d1c5e02d9b4550cc6f2c9e818719b8c9dac49033b3d88cf7fa40f8,4:0,2011/12,18:30,1000,1,8,2,2011
962,2. Liga,2011-12-08 18:30:00,7,Heimo Pfeifenberger,4-4-2 doppel 6,10131,SV Grödig,Thomas Weissenböck,4-1-4-1,2157,FC Blau Weiß Linz,e60fdee686f1c8a03f62756a671698b686aa7806a5d10e3ba31277d24e457afc,3:0,2011/12,18:30,1500,3,8,12,2011
963,2. Liga,2011-08-19 18:30:00,8,Walter Schachner,4-4-2 doppel 6,413,LASK,Heimo Pfeifenberger,4-1-4-1,10131,SV Grödig,30c0249ca9ac0e77ee7765a45ded9f6c6320579f48450aa6f98dd02db43b0215,0:3,2011/12,18:30,1500,4,19,8,2011
965,2. Liga,2011-08-26 18:30:00,10,Heimo Pfeifenberger,4-1-4-1,10131,SV Grödig,Helgi Kolvidsson,4-2-3-1 ,541,SC Austria Lustenau,acbc5dda843dc68aa29340a044d720506839ac141d2daa32a24841c32591c022,0:0,2011/12,18:30,3000,4,26,8,2011
