,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers
183,Bundesliga,So. 10.03.2019,21,,,4441,Wolfsberger AC,Markus Schopp,?,4467,TSV Hartberg,2ffabefa53038d3ddbfd81d048801c98da446206ce7349d5f201116aafd6e3a9,1:1,2018/19,17:00,3678
184,Bundesliga,So. 17.03.2019,22,Markus Schopp,4-1-4-1,4467,TSV Hartberg,,,170,SK Rapid Wien,318550753eda05bcdd801665d75179c857e974fb05f62f38e850345d1b7d0e06,2:2,2018/19,17:00,19200
185,Bundesliga,Sa. 30.03.2019,23,,,2444,FC Wacker Innsbruck,Markus Schopp,4-3-3 offensiv,4467,TSV Hartberg,f194fb7c0e06d5b49f91f4f18a910412470d1035c92555a7bbdd48d9d469f75d,0:2,2018/19,17:00,4635
186,Bundesliga,Sa. 06.04.2019,24,Markus Schopp,?,4467,TSV Hartberg,,,856,SV Mattersburg,35e0326f5d908411d550108fe9bf1f7d4651fec58ff401d74f8cf6e1a0e06731,3:0,2018/19,17:00,2000
187,Bundesliga,Sa. 13.04.2019,25,,,3551,SC Rheindorf Altach,Markus Schopp,?,4467,TSV Hartberg,7909e2016056dc8ce880e7921c4923e6381b326d27e18197e647f8390310bacd,0:1,2018/19,17:00,1832
188,Bundesliga,Sa. 20.04.2019,26,Markus Schopp,?,4467,TSV Hartberg,,,503,FC Admira Wacker Mödling,de8fbab18f799f85aad3fa6e4508b43170229a4af4e0a680ee61c87408744bf5,2:1,2018/19,17:00,1900
189,Bundesliga,Di. 23.04.2019,27,,,170,SK Rapid Wien,Markus Schopp,?,4467,TSV Hartberg,5702ef000f5bedb71df45e0199de31838cbea5c3424882aa5e7e953393870163,2:4,2018/19,19:00,4000
190,Bundesliga,Sa. 27.04.2019,28,Markus Schopp,4-5-1,4467,TSV Hartberg,,,170,SK Rapid Wien,77c155b4a6e51459b235b4af3cc04df5e1966fb8cb3b892a6870e6eb8fdaba2f,3:4,2018/19,17:00,13100
191,Bundesliga,Sa. 04.05.2019,29,Markus Schopp,?,4467,TSV Hartberg,,,2444,FC Wacker Innsbruck,8ec879c2da9067431dd5e969d284f811716f18a731e24e386385a12acc46b207,1:0,2018/19,17:00,4217
192,Bundesliga,Sa. 11.05.2019,30,,,856,SV Mattersburg,Markus Schopp,?,4467,TSV Hartberg,f0b3ac1fe52912fd2c821b3f357191650b9bb5858afaf3c28e5f063ca238dc12,2:1,2018/19,17:00,2312
193,Bundesliga,Sa. 18.05.2019,31,Markus Schopp,4-4-2 doppel 6,4467,TSV Hartberg,,,3551,SC Rheindorf Altach,e4c02e59db7cfbf28a40abab4ecaa11565650aca7202e4f9b69dc92e2ae9e901,3:1,2018/19,17:00,4701
194,Bundesliga,Sa. 25.05.2019,32,,,503,FC Admira Wacker Mödling,Markus Schopp,4-3-3 offensiv,4467,TSV Hartberg,88c8e4e9126d2ea1fa47d9763aca00f66a1132aeebd7fa74659972fa1a06368c,3:1,2018/19,17:00,3873
195,ÖFB-Cup,Fr. 20.07.2018,1.Runde,Markus Schopp,4-4-2 doppel 6,4467,TSV Hartberg,,,10131,SV Grödig,1c77f8e31f5e3d2ef092d1ba7eccbeaf6f885923ba1fa4040c8e6fd1c1cfed9a,1:3  n.V.,2018/19,18:30,150
