,pred,actual
362,1.371,2
363,0.635,1
364,-2.697,-4
365,0.606,1
366,0.559,1
367,0.488,0
368,1.888,3
369,-0.818,-2
370,-0.227,-1
371,-0.418,-1
372,-0.809,-1
373,-0.618,-1
374,1.144,2
375,-5.424,-7
376,-0.598,-1
377,0.864,1
378,2.926,4
379,1.639,1
380,0.617,1
381,0.638,1
382,2.521,4
383,1.364,2
384,-0.04,0
385,1.809,2
386,-0.31,0
387,-0.437,-1
388,-1.486,-2
389,1.392,2
390,0.243,0
391,1.286,1
392,-0.778,-1
393,-2.769,-4
394,-0.93,-2
395,0.496,1
396,-0.935,-1
397,1.406,2
398,0.732,1
399,0.796,1
400,-3.858,-5
401,1.017,1
402,-2.724,-4
403,0.958,1
404,0.335,0
405,-1.251,-2
406,0.142,0
407,0.923,1
408,2.56,4
409,-1.617,-3
410,1.642,2
411,-0.359,0
412,-0.064,0
413,-1.669,-3
414,0.084,0
415,-0.379,-1
416,-0.441,-1
417,-1.053,-2
418,-0.938,-1
419,1.125,1
420,-0.651,-1
421,-2.281,-4
422,0.597,1
423,0.268,0
424,0.898,1
425,-5.146,-7
426,-0.466,-1
427,1.318,2
428,-2.168,-2
429,-0.24,-1
430,-2.292,-4
431,3.099,4
432,-1.549,-1
433,-1.548,-3
434,2.218,4
435,-0.377,-1
436,-3.155,-3
437,0.068,0
438,1.324,2
439,1.229,1
440,0.33,1
441,0.046,0
442,0.739,1
443,-1.583,-3
444,1.658,2
445,-0.669,-1
446,-0.582,0
447,2.186,3
448,0.721,0
449,2.31,3
450,0.066,0
451,-1.005,-2
452,0.229,0
453,2.011,3
454,-1.661,-2
455,-1.41,-3
456,0.05,0
457,-1.447,-2
458,-0.323,0
459,0.29,0
460,-1.798,-1
461,1.922,2
462,0.653,1
463,0.468,0
464,0.148,0
465,1.91,2
466,-1.253,-2
467,-0.969,-1
468,-0.03,0
469,-1.336,-2
470,0.299,0
471,-0.916,-1
472,-0.903,-2
473,1.393,2
474,-2.291,-2
475,-2.056,-3
476,2.086,3
477,-0.618,0
478,-0.606,-1
479,1.487,2
480,0.798,1
481,-0.069,0
482,-1.141,-2
483,1.034,1
484,1.023,1
485,0.235,0
486,0.357,0
487,1.882,3
488,-2.708,-3
489,-0.117,0
490,-0.134,0
491,0.885,1
492,-0.886,-1
493,-0.143,0
494,-0.626,-1
495,-0.653,-1
496,0.692,1
497,1.65,1
498,1.483,2
499,-0.108,0
500,0.104,0
501,-1.448,-2
502,0.939,1
503,1.403,2
504,0.709,1
505,1.889,3
506,-1.376,-1
507,0.316,0
508,0.379,1
509,0.369,1
510,-1.254,-1
511,1.023,1
512,1.197,1
513,0.123,0
514,-0.252,0
515,3.195,4
516,0.185,0
517,-1.391,-2
518,0.03,0
519,1.458,2
520,-2.644,-3
521,-1.348,-2
522,1.271,2
523,1.075,2
524,-2.755,-3
525,-0.618,-1
526,-0.661,-1
527,0.995,1
528,2.279,3
529,2.016,2
530,0.79,2
531,-0.662,-1
532,-0.034,0
533,-0.157,0
