,pred,actual
1526,0.242,0
1527,-0.733,-1
1528,0.458,0
1529,-0.257,-1
1530,-0.103,0
1531,2.115,4
1532,0.999,1
1533,0.469,1
1534,-0.964,-2
1535,-0.63,0
1536,1.659,3
1537,3.023,4
1538,0.487,0
1539,0.541,1
1540,1.368,2
1541,0.582,0
1542,1.425,2
1543,2.623,3
1544,-2.581,-4
1545,0.885,1
1546,-0.925,-1
1547,0.116,1
1548,1.833,2
1549,2.049,2
1550,1.555,2
1551,0.319,0
1552,-2.414,-3
1553,-0.101,0
1554,0.356,0
1555,-1.698,-3
1556,0.606,0
1557,-0.001,0
1558,1.759,2
1559,0.629,1
1560,-0.449,-1
1561,-1.639,-3
1562,-4.701,-6
1563,2.76,4
1564,-0.245,-1
1565,-2.327,-3
1566,1.262,2
1567,0.974,1
1568,1.688,2
1569,-2.03,-2
1570,0.166,1
1571,-1.698,-2
1572,-1.519,-2
1573,1.593,1
1574,1.968,3
1575,0.97,1
1576,-1.807,-2
1577,-1.679,-2
1578,2.339,3
1579,-0.096,0
1580,-1.791,-2
1581,-0.191,-1
1582,0.5,0
1583,1.311,2
1584,-2.016,-3
1585,-0.709,-1
1586,-1.535,-3
1587,0.29,0
1588,-2.74,-3
1589,0.305,1
1590,-0.508,0
1591,0.936,1
1592,-1.471,-1
1593,1.308,1
1594,2.4,3
1595,-0.833,-1
1596,1.234,1
1597,0.244,0
1598,0.284,0
1599,5.705,8
1600,-0.032,0
1601,0.255,0
1602,-1.192,0
1603,0.309,0
1604,0.196,0
1605,-0.513,-1
1606,-0.636,-1
1607,1.042,1
1608,1.004,2
1609,2.075,3
1610,-0.289,-1
1611,-0.023,0
1612,2.129,2
1613,-0.724,-1
1614,-1.289,-2
1615,0.352,0
1616,0.351,0
1617,1.452,2
1618,1.869,2
1619,-0.289,1
1620,-2.11,-3
1621,0.618,1
1622,1.159,1
1623,-0.69,-1
1624,1.73,2
1625,-1.605,-3
1626,-0.217,-1
1627,0.937,1
1628,0.494,1
1629,0.175,0
1630,-3.534,-4
1631,-2.502,-3
1632,-0.869,-1
1633,-0.727,-1
1634,-2.547,-3
1635,1.133,1
1636,-0.885,-1
1637,-0.843,-1
1638,0.974,1
1639,-1.313,-2
1640,1.145,2
1641,-1.484,-2
1642,0.127,0
1643,0.815,0
1644,1.801,3
1645,-0.129,0
1646,0.503,1
1647,0.811,1
1648,2.186,3
1649,2.251,2
1650,-3.039,-4
1651,0.601,0
1652,1.689,2
1653,-0.26,0
1654,-0.427,0
1655,-1.127,-2
1656,0.356,0
1657,1.305,2
1658,-1.441,-2
1659,-1.687,-3
1660,-0.634,0
1661,-0.101,1
1662,0.158,0
1663,0.571,1
1664,-1.559,-2
1665,3.758,5
1666,-0.237,0
1667,-2.123,-3
1668,-0.142,0
1669,-0.907,-2
1670,-0.057,1
1671,1.811,2
1672,-0.297,0
1673,-0.654,-1
1674,-1.145,-1
1675,0.835,1
1676,0.647,1
1677,1.037,1
1678,-0.576,-1
1679,-1.557,-3
1680,-0.142,0
1681,0.131,0
1682,-0.993,-1
1683,2.3,2
1684,1.853,3
1685,0.227,0
1686,0.97,1
1687,-2.767,-4
1688,-4.595,-6
1689,-0.506,0
1690,1.354,2
1691,-2.779,-4
1692,0.781,1
1693,2.221,2
1694,2.078,3
1695,0.015,0
1696,2.749,4
1697,2.435,3
1698,0.048,0
1699,-1.242,-2
1700,-2.309,-2
1701,0.666,1
1702,-5.357,-7
1703,-2.734,-2
1704,0.0,-1
1705,1.451,2
1706,-0.203,0
1707,-2.412,-4
1708,1.689,2
1709,-1.982,-3
1710,1.702,2
1711,1.336,2
1712,1.044,1
1713,2.104,3
1714,0.299,0
1715,-0.275,-1
1716,3.554,5
1717,-1.219,-1
1718,-0.796,-1
1719,-0.685,-1
1720,-0.946,-1
1721,1.517,2
1722,0.254,0
1723,0.424,0
1724,-0.862,-2
1725,-1.373,0
1726,0.645,1
1727,1.822,2
1728,-1.237,-2
1729,0.089,0
1730,2.063,3
1731,-0.468,-1
1732,-0.267,-1
1733,0.417,0
1734,2.312,2
1735,0.683,1
1736,0.553,1
1737,1.187,1
1738,0.656,1
1739,0.491,1
1740,0.672,1
1741,1.127,2
1742,-0.686,-1
1743,0.713,1
1744,2.284,3
1745,0.346,0
1746,1.204,1
1747,0.163,0
1748,2.845,4
1749,-0.89,-2
1750,0.898,1
1751,0.511,1
1752,-2.467,-4
1753,0.357,0
1754,-0.016,0
1755,-0.348,0
1756,-0.953,-1
1757,-0.55,-1
1758,1.711,3
1759,1.376,2
1760,-0.499,0
1761,1.459,2
1762,1.611,2
1763,-1.814,-3
1764,-1.593,-2
1765,1.063,1
1766,2.159,3
1767,1.111,1
1768,-1.403,-3
1769,0.125,0
1770,0.371,0
1771,-0.629,-1
1772,2.068,3
1773,1.404,1
1774,-0.903,-1
1775,1.999,2
1776,0.695,1
1777,0.535,1
1778,-3.352,-4
1779,2.014,2
1780,-3.702,-4
1781,1.43,2
1782,1.081,1
1783,1.265,2
1784,0.194,0
1785,0.455,0
1786,2.59,4
1787,0.582,1
1788,0.345,0
1789,5.214,7
1790,0.32,0
1791,0.395,1
1792,0.478,1
1793,-1.149,-2
1794,0.914,2
1795,-4.63,-6
1796,-0.295,-1
1797,0.302,0
1798,4.103,6
1799,0.187,1
1800,-3.43,-4
1801,0.487,1
1802,-0.62,-1
1803,0.575,1
1804,-0.985,-2
1805,2.965,4
1806,-0.694,-1
1807,0.379,1
1808,0.685,1
1809,-0.963,0
1810,1.656,2
1811,0.553,1
1812,2.569,2
1813,0.503,1
1814,0.552,1
1815,1.268,2
1816,-1.491,-2
1817,1.989,2
1818,1.459,2
1819,-1.124,-2
1820,-0.856,-2
1821,0.794,1
1822,-1.375,-1
1823,-2.066,-2
1824,2.076,3
1825,0.511,1
1826,-0.102,0
1827,1.05,1
1828,-1.465,-2
1829,0.917,1
1830,-0.772,-2
1831,1.846,3
1832,-1.201,-2
1833,-1.966,-3
1834,0.912,1
1835,-1.895,-3
1836,-0.222,-1
1837,0.014,0
1838,2.036,3
1839,0.609,1
1840,-2.179,-3
1841,-0.038,0
1842,-2.639,-3
1843,2.121,3
1844,1.901,3
1845,1.188,2
1846,1.9,2
1847,-0.716,-1
1848,3.148,4
1849,-0.459,-1
1850,3.475,5
1851,-0.017,0
1852,-0.155,0
1853,0.541,1
1854,1.142,1
1855,-0.565,-1
1856,0.518,1
1857,1.507,2
1858,2.264,3
1859,0.849,1
1860,1.539,2
1861,1.334,2
1862,-0.288,-1
1863,1.092,1
1864,0.373,0
1865,-0.539,-1
1866,-0.168,0
1867,2.578,3
1868,-1.448,-2
1869,0.081,0
1870,0.978,1
1871,2.866,4
1872,0.212,0
1873,-0.003,0
1874,-2.036,-2
1875,-2.243,-2
1876,-0.165,0
1877,2.4,3
1878,0.368,0
1879,-1.82,-3
1880,-0.721,-1
1881,0.109,-1
1882,-0.339,0
1883,-0.02,0
1884,1.559,2
1885,0.717,0
1886,1.057,1
1887,-0.933,-1
1888,-1.779,-1
1889,-0.742,-1
1890,-2.764,-4
1891,1.178,1
1892,1.297,1
1893,-2.974,-4
1894,-2.357,-3
1895,-0.651,-1
1896,-0.072,-1
1897,0.155,0
1898,-4.074,-5
1899,0.542,0
1900,-0.564,-1
1901,0.992,1
1902,-1.795,-2
1903,0.462,0
1904,3.489,5
1905,0.834,1
1906,-1.172,0
1907,1.956,2
1908,-1.177,-2
1909,1.037,1
1910,1.103,1
1911,1.622,2
1912,0.28,0
1913,2.834,4
1914,2.063,3
1915,3.104,5
1916,1.171,1
1917,-0.936,-1
1918,0.58,1
1919,-0.57,-1
1920,0.173,0
1921,-1.633,-2
1922,1.079,1
1923,-1.313,-2
1924,-0.429,-1
1925,1.118,2
1926,1.884,3
1927,0.657,1
1928,1.354,2
1929,3.603,5
1930,-2.673,-4
1931,1.661,2
1932,2.064,3
1933,1.92,2
1934,-0.643,0
1935,1.121,2
1936,-0.368,0
1937,0.096,0
1938,-1.759,-3
1939,3.35,4
1940,0.285,0
1941,-0.33,0
1942,3.663,5
1943,1.558,2
1944,0.97,1
1945,1.846,2
1946,-0.628,-1
1947,0.922,2
1948,1.015,1
1949,-1.83,-3
1950,0.828,1
1951,1.589,2
1952,-0.475,-1
1953,-2.926,-4
1954,-1.308,-2
1955,3.734,5
1956,-0.214,-1
1957,0.957,1
1958,2.29,3
1959,-0.281,0
1960,1.656,2
1961,1.884,2
1962,-0.414,-1
1963,1.677,2
1964,-0.089,0
1965,2.812,4
1966,1.541,2
1967,-4.705,-6
1968,-0.008,0
1969,-2.165,-2
1970,-2.849,-3
1971,0.919,1
1972,-0.162,0
1973,-2.193,-3
1974,-1.219,-1
1975,1.236,1
1976,0.768,1
1977,-0.192,-1
1978,0.02,0
1979,0.718,1
1980,1.83,3
1981,0.519,0
1982,-0.031,0
1983,-0.644,-1
1984,-1.772,-2
1985,1.496,1
1986,-1.233,-1
1987,1.971,2
1988,0.801,1
1989,-0.444,-1
1990,0.041,0
1991,1.272,2
1992,2.207,3
1993,-0.035,0
1994,0.05,0
1995,-0.417,-1
1996,-0.438,0
1997,-0.217,0
1998,1.488,2
1999,4.512,6
2000,-0.068,0
2001,-0.409,0
2002,0.957,2
2003,2.157,3
2004,-0.59,-1
2005,0.577,1
2006,-0.212,-1
