,Feature,Pearson,Chi-2,RFE,Logistics,Random Forest,LightGBM,Total
1,home_coach,False,True,True,True,False,True,4
2,homeTeamGoalsShootAtHome,True,True,True,True,False,False,4
3,hoamAvgPoints,True,True,True,True,False,False,4
4,guest_team_name,False,False,True,True,True,True,4
5,guest_coach,False,False,True,True,True,True,4
6,guestTeamGoalsReceivedAtHome,False,False,True,True,True,True,4
7,gameday,False,False,True,True,True,True,4
8,htb_>15,True,True,False,True,False,False,3
9,homeTeamGoalsDiffAtHome,True,False,True,True,False,False,3
10,guestTotalGoalsReceived,False,False,True,True,True,False,3
11,guestTeamGoalsShootAway_90,False,False,False,True,True,True,3
12,guestTeamGoalsShootAtHome,False,False,True,False,True,True,3
13,guestTeamGoalsReceivedAway,False,False,True,False,True,True,3
14,guestTeamGoalsDiffAway_90,False,False,True,False,True,True,3
15,day,False,False,False,True,True,True,3
16,competition,False,True,True,True,False,False,3
17,time,False,False,True,True,False,False,2
18,htb_6,False,True,False,True,False,False,2
19,htb_5,False,True,False,True,False,False,2
20,home_team_name,False,False,True,True,False,False,2
21,homeTeamGoalsShootAway_50,True,True,False,False,False,False,2
22,homeTeamGoalsShootAway_30,True,True,False,False,False,False,2
23,homeTeamGoalsShootAway,True,False,False,True,False,False,2
24,homeTeamGoalsShootAtHome_50,True,True,False,False,False,False,2
25,homeTeamGoalsShootAtHome_30,True,True,False,False,False,False,2
26,homeTeamGoalsShootAtHome_10,True,True,False,False,False,False,2
27,homeTeamGoalsReceivedAtHome,False,False,True,True,False,False,2
28,homeTeamGoalsDiffAtHome_30,True,False,True,False,False,False,2
29,homeTeamGoalsDiffAtHome_10,True,False,True,False,False,False,2
30,hoamAvgPoints_70,True,True,False,False,False,False,2
31,hoamAvgPoints_50,True,True,False,False,False,False,2
32,hoamAvgPoints_30,True,True,False,False,False,False,2
33,hoamAvgPoints_10,True,True,False,False,False,False,2
34,guestTeamGoalsShootAway_70,False,False,False,False,True,True,2
35,guestTeamGoalsShootAway_50,False,False,False,False,True,True,2
36,guestTeamGoalsShootAway_10,False,False,False,False,True,True,2
37,guestTeamGoalsShootAway,False,False,False,False,True,True,2
38,guestTeamGoalsShootAtHome_30,False,False,False,True,True,False,2
39,guestTeamGoalsShootAtHome_10,False,False,False,False,True,True,2
40,guestTeamGoalsReceivedAway_70,False,False,False,False,True,True,2
41,guestTeamGoalsReceivedAway_50,False,False,False,False,True,True,2
42,guestTeamGoalsReceivedAway_30,False,False,False,False,True,True,2
43,guestTeamGoalsReceivedAway_10,False,False,False,False,True,True,2
44,guestTeamGoalsReceivedAtHome_70,False,False,False,False,True,True,2
45,guestTeamGoalsReceivedAtHome_50,False,False,False,False,True,True,2
46,guestTeamGoalsReceivedAtHome_10,False,False,False,False,True,True,2
47,guestTeamGoalsDiffAway_10,False,False,True,False,True,False,2
48,guestTeamGoalsDiffAtHome_10,False,False,True,False,True,False,2
49,guestTeamGoalsDiffAtHome,False,False,True,True,False,False,2
50,guestAvgpoints,False,False,True,True,False,False,2
51,gtb_>15,False,True,False,True,False,False,2
52,gtb_8,False,True,False,True,False,False,2
53,gtb_3,False,True,False,True,False,False,2
54,gtb_13,False,True,False,True,False,False,2
55,month,False,False,False,True,False,False,1
56,htb_7,False,True,False,False,False,False,1
57,htb_4,False,True,False,False,False,False,1
58,htb_3,False,True,False,False,False,False,1
59,htb_2,False,True,False,False,False,False,1
60,htb_13,False,True,False,False,False,False,1
61,homeTotalGoalsShoot_50,True,False,False,False,False,False,1
62,homeTotalGoalsShoot_30,True,False,False,False,False,False,1
63,homeTotalGoalsShoot_10,True,False,False,False,False,False,1
64,homeTotalGoalsShoot,True,False,False,False,False,False,1
65,homeTotalGoalsReceived,False,False,False,False,False,True,1
66,homeTotalGoalDiff_90,True,False,False,False,False,False,1
67,homeTotalGoalDiff_70,True,False,False,False,False,False,1
68,homeTotalGoalDiff_50,True,False,False,False,False,False,1
69,homeTotalGoalDiff_30,True,False,False,False,False,False,1
70,homeTotalGoalDiff_10,True,False,False,False,False,False,1
71,homeTotalGoalDiff,True,False,False,False,False,False,1
72,homeTeamGoalsShootAway_10,True,False,False,False,False,False,1
73,homeTeamGoalsShootAtHome_90,False,True,False,False,False,False,1
74,homeTeamGoalsShootAtHome_70,False,True,False,False,False,False,1
75,homeTeamGoalsReceivedAway_30,False,False,False,True,False,False,1
76,homeTeamGoalsReceivedAway_10,False,False,False,False,False,True,1
77,homeTeamGoalsReceivedAway,False,False,False,False,False,True,1
78,homeTeamGoalsReceivedAtHome_10,False,False,True,False,False,False,1
79,homeTeamGoalsDiffAway_90,False,False,True,False,False,False,1
80,homeTeamGoalsDiffAway_70,False,False,False,True,False,False,1
81,homeTeamGoalsDiffAway_50,False,False,False,True,False,False,1
82,homeTeamGoalsDiffAway,False,False,True,False,False,False,1
83,homeTeamGoalsDiffAtHome_90,True,False,False,False,False,False,1
84,homeTeamGoalsDiffAtHome_70,True,False,False,False,False,False,1
85,homeTeamGoalsDiffAtHome_50,True,False,False,False,False,False,1
86,guestTotalGoalsShoot_50,False,False,True,False,False,False,1
87,guestTotalGoalsShoot_10,False,False,False,False,True,False,1
88,guestTotalGoalsReceived_90,False,False,False,False,False,True,1
89,guestTotalGoalsReceived_30,False,False,False,False,False,True,1
90,guestTeamGoalsShootAway_30,False,False,False,False,True,False,1
91,guestTeamGoalsShootAtHome_90,False,False,False,False,False,True,1
92,guestTeamGoalsShootAtHome_70,False,False,False,False,True,False,1
93,guestTeamGoalsShootAtHome_50,False,False,False,False,False,True,1
94,guestTeamGoalsReceivedAway_90,False,False,False,False,True,False,1
95,guestTeamGoalsReceivedAtHome_90,False,False,True,False,False,False,1
96,guestTeamGoalsReceivedAtHome_30,False,False,False,False,True,False,1
97,guestTeamGoalsDiffAway_70,False,False,False,False,False,True,1
98,guestTeamGoalsDiffAway,False,False,True,False,False,False,1
99,guestTeamGoalsDiffAtHome_90,False,False,True,False,False,False,1
100,guestTeamGoalsDiffAtHome_70,False,False,True,False,False,False,1
101,gtb_7,False,True,False,False,False,False,1
102,gtb_6,False,True,False,False,False,False,1
103,gtb_2,False,True,False,False,False,False,1
104,year,False,False,False,False,False,False,0
105,weekday,False,False,False,False,False,False,0
106,saison,False,False,False,False,False,False,0
